Linux 5.15.30-2-pve (zoo-003) 	06/29/2023 	_x86_64_	(64 CPU)

05:40:30 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:40:32 AM  1011   3651333         -  161.64   47.95    0.00    0.00  209.59    37  deptran_server
05:40:32 AM  1011         -   3651334   50.00   10.96    0.00    0.00   60.96    41  |__deptran_server
05:40:32 AM  1011         -   3651335   56.85   10.96    0.00    0.00   67.81    10  |__deptran_server
05:40:32 AM  1011         -   3651338    1.37    2.05    0.00    0.00    3.42    15  |__deptran_server
05:40:32 AM  1011         -   3651340    1.37    1.37    0.00    0.00    2.74    34  |__deptran_server
05:40:32 AM  1011         -   3651341    0.00    0.68    0.00    0.00    0.68    43  |__deptran_server
05:40:32 AM  1011         -   3651342    1.37    1.37    0.00    0.00    2.74    37  |__deptran_server

05:40:32 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:40:33 AM  1011   3651333         -   19.00   22.00    0.00    0.00   41.00     4  deptran_server
05:40:33 AM  1011         -   3651337    2.00    1.00    0.00    0.00    3.00    41  |__deptran_server
05:40:33 AM  1011         -   3651338    4.00    6.00    0.00    0.00   10.00    14  |__deptran_server
05:40:33 AM  1011         -   3651339    1.00    2.00    0.00    0.00    3.00    10  |__deptran_server
05:40:33 AM  1011         -   3651340    4.00    6.00    0.00    0.00   10.00    12  |__deptran_server
05:40:33 AM  1011         -   3651341    0.00    2.00    0.00    0.00    2.00    43  |__deptran_server
05:40:33 AM  1011         -   3651342    4.00    7.00    0.00    0.00   11.00    37  |__deptran_server

05:40:33 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:40:34 AM  1011   3651333         -  596.00  242.00    0.00    0.00  838.00     4  deptran_server
05:40:34 AM  1011         -   3651333    0.00    1.00    0.00    0.00    1.00     4  |__deptran_server
05:40:34 AM  1011         -   3651337   64.00   26.00    0.00    0.00   90.00    32  |__deptran_server
05:40:34 AM  1011         -   3651338   12.00   19.00    0.00    0.00   31.00    25  |__deptran_server
05:40:34 AM  1011         -   3651339   14.00    1.00    0.00    0.00   15.00     9  |__deptran_server
05:40:34 AM  1011         -   3651340    5.00    9.00    0.00    0.00   14.00    34  |__deptran_server
05:40:34 AM  1011         -   3651341   12.00    4.00    0.00    0.00   16.00    60  |__deptran_server
05:40:34 AM  1011         -   3651342    6.00    9.00    0.00    0.00   15.00    40  |__deptran_server
05:40:34 AM  1011         -   3651347   70.00   21.00    0.00    0.00   91.00    37  |__deptran_server
05:40:34 AM  1011         -   3651348    1.00    0.00    0.00    0.00    1.00    11  |__deptran_server
05:40:34 AM  1011         -   3651349   66.00   26.00    0.00    0.00   92.00    47  |__deptran_server
05:40:34 AM  1011         -   3651350    1.00    1.00    0.00    0.00    2.00     1  |__deptran_server
05:40:34 AM  1011         -   3651351   66.00   26.00    0.00    0.00   92.00    20  |__deptran_server
05:40:34 AM  1011         -   3651352    2.00    0.00    0.00    0.00    2.00    33  |__deptran_server
05:40:34 AM  1011         -   3651353   67.00   22.00    0.00    0.00   89.00     6  |__deptran_server
05:40:34 AM  1011         -   3651354    2.00    1.00    0.00    0.00    3.00    10  |__deptran_server
05:40:34 AM  1011         -   3651355   65.00   24.00    0.00    0.00   89.00     1  |__deptran_server
05:40:34 AM  1011         -   3651356    1.00    0.00    0.00    0.00    1.00     7  |__deptran_server
05:40:34 AM  1011         -   3651357   67.00   23.00    0.00    0.00   90.00    45  |__deptran_server
05:40:34 AM  1011         -   3651358    1.00    1.00    0.00    0.00    2.00    35  |__deptran_server
05:40:34 AM  1011         -   3651359   65.00   23.00    0.00    0.00   88.00     4  |__deptran_server
05:40:34 AM  1011         -   3651360    1.00    1.00    0.00    0.00    2.00    41  |__deptran_server

05:40:34 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:40:35 AM  1011   3651333         -  736.00  102.00    0.00    0.00  838.00     4  deptran_server
05:40:35 AM  1011         -   3651337   73.00   30.00    0.00    0.00  103.00    32  |__deptran_server
05:40:35 AM  1011         -   3651338   16.00   18.00    0.00    1.00   34.00    24  |__deptran_server
05:40:35 AM  1011         -   3651339   20.00   12.00    0.00    0.00   32.00    34  |__deptran_server
05:40:35 AM  1011         -   3651340    7.00   11.00    0.00    0.00   18.00    62  |__deptran_server
05:40:35 AM  1011         -   3651341    2.00    1.00    0.00    0.00    3.00    60  |__deptran_server
05:40:35 AM  1011         -   3651342    3.00    8.00    0.00    0.00   11.00     2  |__deptran_server
05:40:35 AM  1011         -   3651347   90.00    2.00    0.00    0.00   92.00    37  |__deptran_server
05:40:35 AM  1011         -   3651349   88.00    4.00    0.00    0.00   92.00    47  |__deptran_server
05:40:35 AM  1011         -   3651351   84.00    6.00    0.00    0.00   90.00    20  |__deptran_server
05:40:35 AM  1011         -   3651353   87.00    4.00    0.00    0.00   91.00     6  |__deptran_server
05:40:35 AM  1011         -   3651355   87.00    4.00    0.00    0.00   91.00     1  |__deptran_server
05:40:35 AM  1011         -   3651357   88.00    4.00    0.00    0.00   92.00    45  |__deptran_server
05:40:35 AM  1011         -   3651359   87.00    3.00    0.00    0.00   90.00     4  |__deptran_server

05:40:35 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:40:36 AM  1011   3651333         -  701.00   65.00    0.00    0.00  766.00     4  deptran_server
05:40:36 AM  1011         -   3651337   69.00   32.00    0.00    0.00  101.00    32  |__deptran_server
05:40:36 AM  1011         -   3651338   12.00   21.00    0.00    1.00   33.00    24  |__deptran_server
05:40:36 AM  1011         -   3651339    1.00    1.00    0.00    0.00    2.00    12  |__deptran_server
05:40:36 AM  1011         -   3651340    5.00    6.00    0.00    0.00   11.00    62  |__deptran_server
05:40:36 AM  1011         -   3651341    1.00    2.00    0.00    0.00    3.00     2  |__deptran_server
05:40:36 AM  1011         -   3651342    4.00    7.00    0.00    0.00   11.00     3  |__deptran_server
05:40:36 AM  1011         -   3651347   87.00    0.00    0.00    0.00   87.00    37  |__deptran_server
05:40:36 AM  1011         -   3651349   87.00    0.00    0.00    0.00   87.00    47  |__deptran_server
05:40:36 AM  1011         -   3651351   83.00    1.00    0.00    0.00   84.00    20  |__deptran_server
05:40:36 AM  1011         -   3651353   86.00    1.00    0.00    0.00   87.00     6  |__deptran_server
05:40:36 AM  1011         -   3651355   86.00    1.00    0.00    0.00   87.00     1  |__deptran_server
05:40:36 AM  1011         -   3651357   86.00    1.00    0.00    0.00   87.00    45  |__deptran_server
05:40:36 AM  1011         -   3651359   86.00    1.00    0.00    0.00   87.00     4  |__deptran_server

05:40:36 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:40:37 AM  1011   3651333         -  714.00   80.00    0.00    0.00  794.00     4  deptran_server
05:40:37 AM  1011         -   3651337   69.00   27.00    0.00    0.00   96.00    32  |__deptran_server
05:40:37 AM  1011         -   3651338   15.00   21.00    0.00    1.00   36.00    23  |__deptran_server
05:40:37 AM  1011         -   3651339    1.00    1.00    0.00    0.00    2.00     9  |__deptran_server
05:40:37 AM  1011         -   3651340    6.00    6.00    0.00    0.00   12.00    60  |__deptran_server
05:40:37 AM  1011         -   3651341   20.00   14.00    0.00    0.00   34.00     8  |__deptran_server
05:40:37 AM  1011         -   3651342    9.00   10.00    0.00    1.00   19.00    41  |__deptran_server
05:40:37 AM  1011         -   3651347   84.00    1.00    0.00    0.00   85.00    37  |__deptran_server
