Linux 5.15.30-2-pve (zoo-003) 	06/29/2023 	_x86_64_	(64 CPU)

06:00:14 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:00:15 AM  1011   3656395         -  173.15   44.30    0.00    0.00  217.45    40  deptran_server
06:00:15 AM  1011         -   3656397   56.38   10.07    0.00    0.00   66.44    15  |__deptran_server
06:00:15 AM  1011         -   3656398   55.03   12.75    0.00    0.00   67.79     0  |__deptran_server
06:00:15 AM  1011         -   3656400    1.34    1.34    0.00    0.00    2.68    40  |__deptran_server
06:00:15 AM  1011         -   3656401    0.00    0.67    0.00    0.00    0.67    42  |__deptran_server
06:00:15 AM  1011         -   3656402    0.67    2.01    0.00    0.00    2.68    11  |__deptran_server
06:00:15 AM  1011         -   3656403    0.67    0.00    0.00    0.00    0.67    13  |__deptran_server
06:00:15 AM  1011         -   3656404    1.34    0.67    0.00    0.00    2.01     4  |__deptran_server

06:00:15 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:00:16 AM  1011   3656395         -   32.00   22.00    0.00    0.00   54.00    41  deptran_server
06:00:16 AM  1011         -   3656399    1.00    2.00    0.00    0.00    3.00    32  |__deptran_server
06:00:16 AM  1011         -   3656400    4.00    7.00    0.00    0.00   11.00     8  |__deptran_server
06:00:16 AM  1011         -   3656401    2.00    1.00    0.00    0.00    3.00     0  |__deptran_server
06:00:16 AM  1011         -   3656402    4.00    7.00    0.00    0.00   11.00    42  |__deptran_server
06:00:16 AM  1011         -   3656403    1.00    3.00    0.00    0.00    4.00     4  |__deptran_server
06:00:16 AM  1011         -   3656404    5.00    6.00    0.00    0.00   11.00    46  |__deptran_server
06:00:16 AM  1011         -   3656405    2.00    2.00    0.00    0.00    4.00    45  |__deptran_server
06:00:16 AM  1011         -   3656407    2.00    2.00    0.00    0.00    4.00    40  |__deptran_server

06:00:16 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:00:17 AM  1011   3656395         -  596.00  326.00    0.00    0.00  922.00    41  deptran_server
06:00:17 AM  1011         -   3656399   14.00    6.00    0.00    0.00   20.00    35  |__deptran_server
06:00:17 AM  1011         -   3656400   10.00    7.00    0.00    0.00   17.00    50  |__deptran_server
06:00:17 AM  1011         -   3656401   12.00    7.00    0.00    0.00   19.00    44  |__deptran_server
06:00:17 AM  1011         -   3656402    8.00    8.00    0.00    0.00   16.00    43  |__deptran_server
06:00:17 AM  1011         -   3656403   54.00   43.00    0.00    0.00   97.00    27  |__deptran_server
06:00:17 AM  1011         -   3656404   10.00   18.00    0.00    0.00   28.00    37  |__deptran_server
06:00:17 AM  1011         -   3656405   67.00   34.00    0.00    0.00  101.00    45  |__deptran_server
06:00:17 AM  1011         -   3656406    2.00    0.00    0.00    0.00    2.00    15  |__deptran_server
06:00:17 AM  1011         -   3656407   70.00   31.00    0.00    0.00  101.00    58  |__deptran_server
06:00:17 AM  1011         -   3656408    2.00    0.00    0.00    0.00    2.00    47  |__deptran_server
06:00:17 AM  1011         -   3656409   70.00   30.00    0.00    0.00  100.00     1  |__deptran_server
06:00:17 AM  1011         -   3656410    2.00    0.00    0.00    0.00    2.00    38  |__deptran_server
06:00:17 AM  1011         -   3656411   64.00   35.00    0.00    0.00   99.00    14  |__deptran_server
06:00:17 AM  1011         -   3656412    2.00    2.00    0.00    0.00    4.00    43  |__deptran_server
06:00:17 AM  1011         -   3656413   68.00   32.00    0.00    0.00  100.00    34  |__deptran_server
06:00:17 AM  1011         -   3656414    1.00    1.00    0.00    0.00    2.00     4  |__deptran_server
06:00:17 AM  1011         -   3656415   67.00   33.00    0.00    0.00  100.00    38  |__deptran_server
06:00:17 AM  1011         -   3656416    2.00    0.00    0.00    0.00    2.00    41  |__deptran_server
06:00:17 AM  1011         -   3656417   66.00   34.00    0.00    0.00  100.00    41  |__deptran_server
06:00:17 AM  1011         -   3656418    1.00    0.00    0.00    0.00    1.00    47  |__deptran_server

06:00:17 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:00:18 AM  1011   3656395         -  663.00   80.00    0.00    0.00  743.00    41  deptran_server
06:00:18 AM  1011         -   3656399    1.00    1.00    0.00    0.00    2.00    15  |__deptran_server
06:00:18 AM  1011         -   3656400    4.00    6.00    0.00    0.00   10.00    50  |__deptran_server
06:00:18 AM  1011         -   3656401    2.00    1.00    0.00    0.00    3.00     0  |__deptran_server
06:00:18 AM  1011         -   3656402    2.00    7.00    0.00    0.00    9.00    44  |__deptran_server
06:00:18 AM  1011         -   3656403   62.00   32.00    0.00    0.00   94.00    27  |__deptran_server
06:00:18 AM  1011         -   3656404   15.00   18.00    0.00    1.00   33.00    39  |__deptran_server
06:00:18 AM  1011         -   3656405   81.00    3.00    0.00    0.00   84.00    45  |__deptran_server
06:00:18 AM  1011         -   3656407   79.00    2.00    0.00    0.00   81.00    58  |__deptran_server
06:00:18 AM  1011         -   3656409   85.00    2.00    0.00    0.00   87.00     1  |__deptran_server
06:00:18 AM  1011         -   3656411   82.00    2.00    0.00    0.00   84.00    14  |__deptran_server
06:00:18 AM  1011         -   3656413   81.00    3.00    0.00    0.00   84.00    34  |__deptran_server
06:00:18 AM  1011         -   3656415   82.00    2.00    0.00    0.00   84.00    42  |__deptran_server
06:00:18 AM  1011         -   3656417   84.00    3.00    0.00    0.00   87.00    41  |__deptran_server

06:00:18 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:00:19 AM  1011   3656395         -  705.00   61.00    0.00    0.00  766.00    41  deptran_server
06:00:19 AM  1011         -   3656399    1.00    2.00    0.00    0.00    3.00    37  |__deptran_server
06:00:19 AM  1011         -   3656400    6.00    5.00    0.00    0.00   11.00    48  |__deptran_server
06:00:19 AM  1011         -   3656401    1.00    1.00    0.00    0.00    2.00     0  |__deptran_server
06:00:19 AM  1011         -   3656402    2.00    9.00    0.00    0.00   11.00    44  |__deptran_server
06:00:19 AM  1011         -   3656403   67.00   31.00    0.00    0.00   98.00    27  |__deptran_server
06:00:19 AM  1011         -   3656404   13.00   18.00    0.00    1.00   31.00    39  |__deptran_server
06:00:19 AM  1011         -   3656405   84.00    0.00    0.00    0.00   84.00     4  |__deptran_server
06:00:19 AM  1011         -   3656407   84.00    0.00    0.00    0.00   84.00    58  |__deptran_server
06:00:19 AM  1011         -   3656409   89.00    0.00    0.00    0.00   89.00     1  |__deptran_server
06:00:19 AM  1011         -   3656411   87.00    0.00    0.00    0.00   87.00    14  |__deptran_server
06:00:19 AM  1011         -   3656413   88.00    0.00    0.00    0.00   88.00    34  |__deptran_server
06:00:19 AM  1011         -   3656415   87.00    1.00    0.00    0.00   88.00    11  |__deptran_server
06:00:19 AM  1011         -   3656417   88.00    0.00    0.00    0.00   88.00    41  |__deptran_server

06:00:19 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:00:20 AM  1011   3656395         -  689.00   69.00    0.00    0.00  758.00    41  deptran_server
06:00:20 AM  1011         -   3656399    2.00    1.00    0.00    0.00    3.00    39  |__deptran_server
06:00:20 AM  1011         -   3656400    6.00    4.00    0.00    0.00   10.00    50  |__deptran_server
06:00:20 AM  1011         -   3656401    1.00    2.00    0.00    0.00    3.00     7  |__deptran_server
06:00:20 AM  1011         -   3656402    5.00    6.00    0.00    0.00   11.00     5  |__deptran_server
06:00:20 AM  1011         -   3656403   66.00   31.00    0.00    0.00   97.00    27  |__deptran_server
06:00:20 AM  1011         -   3656404   13.00   21.00    0.00    1.00   34.00     8  |__deptran_server
06:00:20 AM  1011         -   3656405   86.00    1.00    0.00    0.00   87.00     4  |__deptran_server
06:00:20 AM  1011         -   3656407   81.00    2.00    0.00    0.00   83.00    58  |__deptran_server
06:00:20 AM  1011         -   3656409   84.00    3.00    0.00    0.00   87.00     1  |__deptran_server
06:00:20 AM  1011         -   3656411   85.00    1.00    0.00    0.00   86.00    14  |__deptran_server
06:00:20 AM  1011         -   3656413   84.00    1.00    0.00    0.00   85.00    34  |__deptran_server
06:00:20 AM  1011         -   3656415   86.00    0.00    0.00    0.00   86.00    11  |__deptran_server
06:00:20 AM  1011         -   3656417   86.00    1.00    0.00    0.00   87.00    41  |__deptran_server

06:00:20 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:00:21 AM  1011   3656395         -  755.00   90.00    0.00    0.00  845.00    41  deptran_server
06:00:21 AM  1011         -   3656399   13.00   14.00    0.00    0.00   27.00    39  |__deptran_server
