Linux 5.15.30-2-pve (zoo-003) 	06/29/2023 	_x86_64_	(64 CPU)

04:45:22 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:45:24 AM  1011   3640300         -  178.49   29.57    0.00    0.00  208.06     0  deptran_server
04:45:24 AM  1011         -   3640301   59.68    9.14    0.00   21.51   68.82    20  |__deptran_server
04:45:24 AM  1011         -   3640302   68.28   11.29    0.00    9.68   79.57    28  |__deptran_server
04:45:24 AM  1011         -   3640303   50.54    9.14    0.00   28.49   59.68    27  |__deptran_server

04:45:24 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:45:25 AM  1011   3640300         -   82.00   19.00    0.00    0.00  101.00     0  deptran_server
04:45:25 AM  1011         -   3640301   30.00    4.00    0.00   17.00   34.00    50  |__deptran_server
04:45:25 AM  1011         -   3640302    7.00    0.00    0.00    1.00    7.00    28  |__deptran_server
04:45:25 AM  1011         -   3640306    2.00    6.00    0.00    4.00    8.00    23  |__deptran_server
04:45:25 AM  1011         -   3640308    0.00    3.00    0.00    1.00    3.00    52  |__deptran_server
04:45:25 AM  1011         -   3640310    0.00    1.00    0.00    2.00    1.00    59  |__deptran_server

04:45:25 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:45:26 AM  1011   3640300         -   63.00   40.00    0.00    1.00  103.00    28  deptran_server
04:45:26 AM  1011         -   3640300    1.00    0.00    0.00    1.00    1.00    28  |__deptran_server
04:45:26 AM  1011         -   3640305    1.00    1.00    0.00    4.00    2.00    16  |__deptran_server
04:45:26 AM  1011         -   3640306    3.00    7.00    0.00   11.00   10.00     6  |__deptran_server
04:45:26 AM  1011         -   3640307    6.00    2.00    0.00   12.00    8.00    16  |__deptran_server
04:45:26 AM  1011         -   3640308    5.00    8.00    0.00    5.00   13.00    28  |__deptran_server
04:45:26 AM  1011         -   3640309    1.00    1.00    0.00    2.00    2.00    16  |__deptran_server
04:45:26 AM  1011         -   3640310    5.00    5.00    0.00    5.00   10.00    19  |__deptran_server
04:45:26 AM  1011         -   3640315    5.00    3.00    0.00   16.00    8.00    35  |__deptran_server
04:45:26 AM  1011         -   3640317    8.00    3.00    0.00   14.00   11.00    35  |__deptran_server
04:45:26 AM  1011         -   3640319    6.00    2.00    0.00   13.00    8.00    61  |__deptran_server
04:45:26 AM  1011         -   3640321    3.00    2.00    0.00   12.00    5.00    35  |__deptran_server
04:45:26 AM  1011         -   3640323    4.00    1.00    0.00   12.00    5.00    61  |__deptran_server
04:45:26 AM  1011         -   3640325    4.00    1.00    0.00   12.00    5.00    61  |__deptran_server
04:45:26 AM  1011         -   3640326    1.00    0.00    0.00    3.00    1.00    24  |__deptran_server
04:45:26 AM  1011         -   3640327    2.00    3.00    0.00   15.00    5.00    16  |__deptran_server

04:45:26 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:45:27 AM  1011   3640300         -  373.00   65.00    0.00    0.00  438.00    28  deptran_server
04:45:27 AM  1011         -   3640305    5.00    4.00    0.00   16.00    9.00    61  |__deptran_server
04:45:27 AM  1011         -   3640306    1.00   11.00    0.00   17.00   12.00     8  |__deptran_server
04:45:27 AM  1011         -   3640307   35.00   14.00    0.00   53.00   49.00    29  |__deptran_server
04:45:27 AM  1011         -   3640308    8.00   10.00    0.00    6.00   18.00    23  |__deptran_server
04:45:27 AM  1011         -   3640309    1.00    0.00    0.00    3.00    1.00    23  |__deptran_server
04:45:27 AM  1011         -   3640310    5.00    7.00    0.00    0.00   12.00    19  |__deptran_server
04:45:27 AM  1011         -   3640315   48.00    3.00    0.00   31.00   51.00    25  |__deptran_server
04:45:27 AM  1011         -   3640317   43.00    4.00    0.00   35.00   47.00    52  |__deptran_server
04:45:27 AM  1011         -   3640319   36.00    4.00    0.00   40.00   40.00    48  |__deptran_server
04:45:27 AM  1011         -   3640321   49.00    3.00    0.00   38.00   52.00    16  |__deptran_server
04:45:27 AM  1011         -   3640323   37.00    4.00    0.00   52.00   41.00    29  |__deptran_server
04:45:27 AM  1011         -   3640325   50.00    2.00    0.00   34.00   52.00     3  |__deptran_server
04:45:27 AM  1011         -   3640327   49.00    4.00    0.00   34.00   53.00    61  |__deptran_server

04:45:27 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:45:28 AM  1011   3640300         -  330.00   46.00    0.00    0.00  376.00    28  deptran_server
04:45:28 AM  1011         -   3640305    1.00    1.00    0.00    4.00    2.00    61  |__deptran_server
04:45:28 AM  1011         -   3640306    6.00    5.00    0.00   16.00   11.00     4  |__deptran_server
04:45:28 AM  1011         -   3640307   38.00   15.00    0.00   52.00   53.00    23  |__deptran_server
04:45:28 AM  1011         -   3640308    5.00    9.00    0.00   23.00   14.00    61  |__deptran_server
04:45:28 AM  1011         -   3640309   23.00    8.00    0.00   22.00   31.00    23  |__deptran_server
04:45:28 AM  1011         -   3640310    6.00    9.00    0.00   18.00   15.00    29  |__deptran_server
04:45:28 AM  1011         -   3640315   36.00    1.00    0.00    5.00   37.00    61  |__deptran_server
04:45:28 AM  1011         -   3640317   32.00    0.00    0.00   24.00   32.00     0  |__deptran_server
04:45:28 AM  1011         -   3640319   38.00    0.00    0.00    5.00   38.00    25  |__deptran_server
04:45:28 AM  1011         -   3640321   37.00    0.00    0.00   11.00   37.00    55  |__deptran_server
04:45:28 AM  1011         -   3640323   33.00    1.00    0.00   25.00   34.00    61  |__deptran_server
04:45:28 AM  1011         -   3640325   36.00    0.00    0.00    9.00   36.00    11  |__deptran_server
04:45:28 AM  1011         -   3640327   34.00    0.00    0.00   23.00   34.00    29  |__deptran_server

04:45:28 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:45:29 AM  1011   3640300         -  525.00  104.00    0.00    0.00  629.00    28  deptran_server
04:45:29 AM  1011         -   3640305   55.00   22.00    0.00   43.00   77.00    36  |__deptran_server
04:45:29 AM  1011         -   3640306   12.00   20.00    0.00   22.00   32.00     6  |__deptran_server
04:45:29 AM  1011         -   3640307   56.00   16.00    0.00   69.00   72.00    30  |__deptran_server
04:45:29 AM  1011         -   3640308    8.00   12.00    0.00   27.00   20.00     0  |__deptran_server
04:45:29 AM  1011         -   3640309   44.00   10.00    0.00   45.00   54.00    62  |__deptran_server
04:45:29 AM  1011         -   3640310    5.00   18.00    0.00   24.00   23.00     0  |__deptran_server
04:45:29 AM  1011         -   3640315   51.00    1.00    0.00   22.00   52.00    20  |__deptran_server
04:45:29 AM  1011         -   3640317   48.00    2.00    0.00   10.00   50.00     0  |__deptran_server
04:45:29 AM  1011         -   3640319   51.00    1.00    0.00    9.00   52.00    30  |__deptran_server
04:45:29 AM  1011         -   3640321   48.00    1.00    0.00    8.00   49.00    20  |__deptran_server
04:45:29 AM  1011         -   3640323   48.00    0.00    0.00   18.00   48.00    62  |__deptran_server
04:45:29 AM  1011         -   3640325   48.00    2.00    0.00   15.00   50.00    30  |__deptran_server
04:45:29 AM  1011         -   3640327   48.00    2.00    0.00   17.00   50.00    61  |__deptran_server

04:45:29 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:45:31 AM  1011   3640300         -  261.50   26.00    0.00    0.00  287.50    28  deptran_server
04:45:31 AM  1011         -   3640305   24.00    3.00    0.00   10.00   27.00     9  |__deptran_server
04:45:31 AM  1011         -   3640306    3.00    6.50    0.00   12.50    9.50    38  |__deptran_server
04:45:31 AM  1011         -   3640307   36.00    3.00    0.00   33.50   39.00    28  |__deptran_server
04:45:31 AM  1011         -   3640308    4.00    7.50    0.00   12.50   11.50    41  |__deptran_server
04:45:31 AM  1011         -   3640309   17.00    3.50    0.00   17.50   20.50    28  |__deptran_server
04:45:31 AM  1011         -   3640310    4.50    5.00    0.00   13.00    9.50    24  |__deptran_server
