Linux 5.15.30-2-pve (zoo-003) 	06/29/2023 	_x86_64_	(64 CPU)

05:01:43 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:44 AM  1011   3643710         -  182.19   44.52    0.00    0.00  226.71     5  deptran_server
05:01:44 AM  1011         -   3643712   60.96   10.96    0.00    0.00   71.92     0  |__deptran_server
05:01:44 AM  1011         -   3643713   60.27   11.64    0.00    0.00   71.92     2  |__deptran_server
05:01:44 AM  1011         -   3643714    0.00    0.68    0.00    0.00    0.68     2  |__deptran_server
05:01:44 AM  1011         -   3643715    0.68    1.37    0.00    0.00    2.05     9  |__deptran_server
05:01:44 AM  1011         -   3643716    0.00    0.68    0.00    0.00    0.68     0  |__deptran_server
05:01:44 AM  1011         -   3643717    1.37    1.37    0.00    0.00    2.74    35  |__deptran_server
05:01:44 AM  1011         -   3643719    0.68    1.37    0.00    0.00    2.05    42  |__deptran_server

05:01:44 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:45 AM  1011   3643710         -   17.00   22.00    0.00    0.00   39.00     5  deptran_server
05:01:45 AM  1011         -   3643714    1.00    1.00    0.00    0.00    2.00     1  |__deptran_server
05:01:45 AM  1011         -   3643715    3.00    7.00    0.00    0.00   10.00     9  |__deptran_server
05:01:45 AM  1011         -   3643716    0.00    2.00    0.00    0.00    2.00     0  |__deptran_server
05:01:45 AM  1011         -   3643717    4.00    5.00    0.00    0.00    9.00    35  |__deptran_server
05:01:45 AM  1011         -   3643718    2.00    1.00    0.00    0.00    3.00     7  |__deptran_server
05:01:45 AM  1011         -   3643719    4.00    6.00    0.00    0.00   10.00    45  |__deptran_server

05:01:45 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:01:46 AM  1011   3643710         -  684.00  208.00    0.00    0.00  892.00     4  deptran_server
05:01:46 AM  1011         -   3643714   21.00   10.00    0.00    0.00   31.00    40  |__deptran_server
05:01:46 AM  1011         -   3643715    9.00   13.00    0.00    0.00   22.00    61  |__deptran_server
05:01:46 AM  1011         -   3643716   18.00   13.00    0.00    0.00   31.00    36  |__deptran_server
05:01:46 AM  1011         -   3643717    9.00   11.00    0.00    0.00   20.00    43  |__deptran_server
05:01:46 AM  1011         -   3643718   62.00   28.00    0.00    0.00   90.00    42  |__deptran_server
