Linux 5.15.30-2-pve (zoo-003) 	06/29/2023 	_x86_64_	(64 CPU)

04:18:14 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:18:16 AM  1011   3634873         -  165.36   45.10    0.00    0.00  210.46    59  deptran_server
04:18:16 AM  1011         -   3634874   55.56   10.46    0.00    0.00   66.01    60  |__deptran_server
04:18:16 AM  1011         -   3634875   54.90   11.76    0.00    0.00   66.67    25  |__deptran_server
04:18:16 AM  1011         -   3634878    0.00    2.61    0.00    0.00    2.61    62  |__deptran_server
04:18:16 AM  1011         -   3634879    0.00    0.65    0.00    0.00    0.65    31  |__deptran_server
04:18:16 AM  1011         -   3634880    0.65    1.96    0.00    0.00    2.61    49  |__deptran_server
04:18:16 AM  1011         -   3634882    1.31    1.31    0.00    0.00    2.61    25  |__deptran_server

04:18:16 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:18:17 AM  1011   3634873         -   13.00   25.00    0.00    0.00   38.00    59  deptran_server
04:18:17 AM  1011         -   3634877    0.00    2.00    0.00    0.00    2.00    29  |__deptran_server
04:18:17 AM  1011         -   3634878    4.00    5.00    0.00    0.00    9.00    62  |__deptran_server
04:18:17 AM  1011         -   3634879    1.00    1.00    0.00    0.00    2.00    25  |__deptran_server
04:18:17 AM  1011         -   3634880    3.00    6.00    0.00    0.00    9.00    31  |__deptran_server
04:18:17 AM  1011         -   3634881    2.00    2.00    0.00    0.00    4.00    28  |__deptran_server
04:18:17 AM  1011         -   3634882    4.00    6.00    0.00    0.00   10.00    24  |__deptran_server

04:18:17 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:18:18 AM  1011   3634873         -  322.00   97.00    0.00    0.00  419.00    59  deptran_server
04:18:18 AM  1011         -   3634877   84.00   19.00    0.00    0.00  103.00    10  |__deptran_server
04:18:18 AM  1011         -   3634878   10.00   13.00    0.00    0.00   23.00    51  |__deptran_server
04:18:18 AM  1011         -   3634879   38.00    5.00    0.00    0.00   43.00    48  |__deptran_server
04:18:18 AM  1011         -   3634880    6.00   15.00    0.00    0.00   21.00     3  |__deptran_server
04:18:18 AM  1011         -   3634881   36.00    4.00    0.00    0.00   40.00    30  |__deptran_server
04:18:18 AM  1011         -   3634882    6.00   13.00    0.00    0.00   19.00    29  |__deptran_server
04:18:18 AM  1011         -   3634883   20.00    4.00    0.00    0.00   24.00    63  |__deptran_server
04:18:18 AM  1011         -   3634885   20.00    2.00    0.00    0.00   22.00    53  |__deptran_server
04:18:18 AM  1011         -   3634887   19.00    3.00    0.00    0.00   22.00    55  |__deptran_server
04:18:18 AM  1011         -   3634889   22.00    4.00    0.00    0.00   26.00    11  |__deptran_server
04:18:18 AM  1011         -   3634891   16.00    6.00    0.00    0.00   22.00    19  |__deptran_server
04:18:18 AM  1011         -   3634893   19.00    3.00    0.00    0.00   22.00    59  |__deptran_server
04:18:18 AM  1011         -   3634895   19.00    3.00    0.00    0.00   22.00    28  |__deptran_server

04:18:18 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:18:19 AM  1011   3634873         -  294.00   66.00    0.00    0.00  360.00    59  deptran_server
04:18:19 AM  1011         -   3634877   74.00   14.00    0.00    0.00   88.00    10  |__deptran_server
04:18:19 AM  1011         -   3634878    9.00   10.00    0.00    1.00   19.00    45  |__deptran_server
04:18:19 AM  1011         -   3634879   47.00    6.00    0.00    0.00   53.00    48  |__deptran_server
04:18:19 AM  1011         -   3634880    6.00   12.00    0.00    1.00   18.00     3  |__deptran_server
04:18:19 AM  1011         -   3634881   48.00    7.00    0.00    0.00   55.00    31  |__deptran_server
04:18:19 AM  1011         -   3634882    8.00   10.00    0.00    1.00   18.00    53  |__deptran_server
04:18:19 AM  1011         -   3634883   16.00    1.00    0.00    0.00   17.00    60  |__deptran_server
04:18:19 AM  1011         -   3634885   16.00    2.00    0.00    0.00   18.00    18  |__deptran_server
04:18:19 AM  1011         -   3634887   15.00    1.00    0.00    0.00   16.00    55  |__deptran_server
04:18:19 AM  1011         -   3634889   13.00    3.00    0.00    0.00   16.00    12  |__deptran_server
04:18:19 AM  1011         -   3634891   13.00    1.00    0.00    0.00   14.00    19  |__deptran_server
04:18:19 AM  1011         -   3634893   13.00    2.00    0.00    0.00   15.00    59  |__deptran_server
04:18:19 AM  1011         -   3634895   13.00    3.00    0.00    0.00   16.00    61  |__deptran_server

