Linux 5.15.30-2-pve (zoo-003) 	07/17/2023 	_x86_64_	(64 CPU)

08:59:38 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:59:41 PM  1011    318509         -  237.02   56.11    0.00    0.00  293.13    42  deptran_server
08:59:41 PM  1011         -    318522    0.76    0.38    0.00    0.00    1.15    10  |__deptran_server
08:59:41 PM  1011         -    318523    2.67    2.67    0.00    0.00    5.34    46  |__deptran_server
08:59:41 PM  1011         -    318524    1.15    0.00    0.00    0.00    1.15     7  |__deptran_server
08:59:41 PM  1011         -    318525    1.15    4.58    0.00    0.00    5.73    47  |__deptran_server
08:59:41 PM  1011         -    318526    0.00    0.76    0.00    0.00    0.76    43  |__deptran_server
08:59:41 PM  1011         -    318527    1.53    3.05    0.00    0.38    4.58     2  |__deptran_server
08:59:41 PM  1011         -    318528    0.38    0.76    0.00    0.00    1.15    37  |__deptran_server
08:59:41 PM  1011         -    318529    0.38    3.82    0.00    0.00    4.20     4  |__deptran_server
08:59:41 PM  1011         -    318530    0.38    0.38    0.00    0.00    0.76     8  |__deptran_server
08:59:41 PM  1011         -    318531    2.29    1.91    0.00    0.00    4.20    21  |__deptran_server

08:59:41 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:59:43 PM  1011    318509         -  314.00  136.50    0.00    0.00  450.50    42  deptran_server
08:59:43 PM  1011         -    318509    0.00    0.50    0.00    0.00    0.50    42  |__deptran_server
08:59:43 PM  1011         -    318522   40.00   12.50    0.00    0.00   52.50    46  |__deptran_server
08:59:43 PM  1011         -    318523    6.00   11.50    0.00    0.50   17.50     2  |__deptran_server
08:59:43 PM  1011         -    318524   40.00   11.50    0.00    0.00   51.50     9  |__deptran_server
08:59:43 PM  1011         -    318525    8.50    8.50    0.00    0.50   17.00     1  |__deptran_server
08:59:43 PM  1011         -    318526   63.00   22.50    0.00    0.00   85.50    62  |__deptran_server
08:59:43 PM  1011         -    318527   10.00    9.50    0.00    1.00   19.50    15  |__deptran_server
08:59:43 PM  1011         -    318528   41.50   15.50    0.00    0.00   57.00    53  |__deptran_server
08:59:43 PM  1011         -    318529    9.00    8.50    0.00    0.50   17.50     8  |__deptran_server
08:59:43 PM  1011         -    318530   32.50    7.00    0.00    0.00   39.50    12  |__deptran_server
08:59:43 PM  1011         -    318531    7.50    9.50    0.00    0.00   17.00    48  |__deptran_server
08:59:43 PM  1011         -    318532    5.50    2.50    0.00    0.00    8.00    34  |__deptran_server
08:59:43 PM  1011         -    318534    6.00    1.50    0.00    0.00    7.50    13  |__deptran_server
08:59:43 PM  1011         -    318536    6.00    1.50    0.00    0.00    7.50    63  |__deptran_server
08:59:43 PM  1011         -    318538    3.50    3.00    0.00    0.00    6.50    41  |__deptran_server
08:59:43 PM  1011         -    318540    6.00    1.50    0.00    0.00    7.50    43  |__deptran_server
08:59:43 PM  1011         -    318542    5.50    2.00    0.00    0.00    7.50    50  |__deptran_server
08:59:43 PM  1011         -    318544    5.00    2.00    0.00    0.00    7.00    51  |__deptran_server
08:59:43 PM  1011         -    318546    5.00    1.50    0.00    0.00    6.50    36  |__deptran_server
08:59:43 PM  1011         -    318548    4.50    2.50    0.00    0.00    7.00    40  |__deptran_server
08:59:43 PM  1011         -    318550    4.50    2.00    0.00    0.00    6.50    35  |__deptran_server

08:59:43 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:59:45 PM  1011    318509         -  369.00  126.00    0.00    0.00  495.00    42  deptran_server
08:59:45 PM  1011         -    318522   49.00   11.00    0.00    0.00   60.00    10  |__deptran_server
08:59:45 PM  1011         -    318523    9.00    9.50    0.00    0.50   18.50     1  |__deptran_server
08:59:45 PM  1011         -    318524   50.50   10.00    0.00    0.00   60.50    11  |__deptran_server
08:59:45 PM  1011         -    318525    7.50   10.00    0.00    0.50   17.50     6  |__deptran_server
08:59:45 PM  1011         -    318526   77.00   16.50    0.00    0.00   93.50    62  |__deptran_server
08:59:45 PM  1011         -    318527    8.50   12.00    0.00    0.50   20.50    40  |__deptran_server
08:59:45 PM  1011         -    318528   55.00   12.50    0.00    0.00   67.50    53  |__deptran_server
08:59:45 PM  1011         -    318529    7.00   12.00    0.00    0.00   19.00    12  |__deptran_server
08:59:45 PM  1011         -    318530   38.00    5.00    0.00    0.00   43.00    32  |__deptran_server
08:59:45 PM  1011         -    318531    8.50   12.50    0.00    1.00   21.00    21  |__deptran_server
08:59:45 PM  1011         -    318532    5.00    1.50    0.00    0.00    6.50    39  |__deptran_server
08:59:45 PM  1011         -    318534    5.50    2.00    0.00    0.00    7.50    33  |__deptran_server
08:59:45 PM  1011         -    318536    5.00    2.50    0.00    0.00    7.50    57  |__deptran_server
08:59:45 PM  1011         -    318538    5.50    2.00    0.00    0.00    7.50    42  |__deptran_server
08:59:45 PM  1011         -    318540    5.00    2.50    0.00    0.00    7.50    43  |__deptran_server
08:59:45 PM  1011         -    318542    5.00    2.00    0.00    0.00    7.00    54  |__deptran_server
08:59:45 PM  1011         -    318544    6.00    1.50    0.00    0.00    7.50    51  |__deptran_server
08:59:45 PM  1011         -    318546    5.00    2.50    0.00    0.00    7.50    28  |__deptran_server
08:59:45 PM  1011         -    318548    6.50    1.00    0.00    0.00    7.50    45  |__deptran_server
