Linux 5.15.30-2-pve (zoo-003) 	07/17/2023 	_x86_64_	(64 CPU)

09:10:29 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:10:32 PM  1011    320584         -  246.59   65.86    0.00    0.00  312.45    42  deptran_server
09:10:32 PM  1011         -    320591    0.40    0.80    0.00    0.00    1.20    42  |__deptran_server
09:10:32 PM  1011         -    320592    0.80    3.21    0.00    0.00    4.02     6  |__deptran_server
09:10:32 PM  1011         -    320593    0.00    0.80    0.00    0.00    0.80    38  |__deptran_server
09:10:32 PM  1011         -    320594    1.61    2.41    0.00    0.00    4.02     7  |__deptran_server
09:10:32 PM  1011         -    320595    0.40    0.80    0.00    0.00    1.20    45  |__deptran_server
09:10:32 PM  1011         -    320596    1.20    3.21    0.00    0.00    4.42    10  |__deptran_server
09:10:32 PM  1011         -    320597    0.40    0.40    0.00    0.00    0.80    35  |__deptran_server
09:10:32 PM  1011         -    320598    1.20    2.81    0.00    0.00    4.02    43  |__deptran_server
09:10:32 PM  1011         -    320599    0.40    0.40    0.00    0.00    0.80    32  |__deptran_server
09:10:32 PM  1011         -    320600    1.61    2.41    0.00    0.00    4.02    47  |__deptran_server

09:10:32 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:10:34 PM  1011    320584         -  269.00  128.00    0.00    0.00  397.00     7  deptran_server
09:10:34 PM  1011         -    320584    0.00    0.50    0.00    0.00    0.50     7  |__deptran_server
09:10:34 PM  1011         -    320591   35.00   11.00    0.00    0.00   46.00    10  |__deptran_server
09:10:34 PM  1011         -    320592    7.00   10.00    0.00    0.00   17.00    53  |__deptran_server
09:10:34 PM  1011         -    320593   58.00   14.50    0.00    0.00   72.50     8  |__deptran_server
09:10:34 PM  1011         -    320594    6.50   11.00    0.00    0.00   17.50    41  |__deptran_server
09:10:34 PM  1011         -    320595   38.00   11.50    0.00    0.00   49.50    47  |__deptran_server
09:10:34 PM  1011         -    320596    7.00   10.00    0.00    0.00   17.00     4  |__deptran_server
09:10:34 PM  1011         -    320597   34.00   11.50    0.00    0.00   45.50    36  |__deptran_server
09:10:34 PM  1011         -    320598    6.50    9.00    0.00    0.00   15.50    35  |__deptran_server
09:10:34 PM  1011         -    320599   27.50    7.00    0.00    0.00   34.50    39  |__deptran_server
09:10:34 PM  1011         -    320600    5.00   11.00    0.00    0.50   16.00    54  |__deptran_server
09:10:34 PM  1011         -    320601    4.50    1.50    0.00    0.00    6.00    42  |__deptran_server
09:10:34 PM  1011         -    320603    3.00    3.00    0.00    0.00    6.00    45  |__deptran_server
09:10:34 PM  1011         -    320605    3.50    2.50    0.00    0.00    6.00    44  |__deptran_server
09:10:34 PM  1011         -    320607    4.50    2.00    0.00    0.00    6.50    38  |__deptran_server
09:10:34 PM  1011         -    320609    4.50    1.50    0.00    0.00    6.00     7  |__deptran_server
09:10:34 PM  1011         -    320611    5.00    1.00    0.00    0.00    6.00     5  |__deptran_server
09:10:34 PM  1011         -    320613    4.50    1.50    0.00    0.00    6.00    46  |__deptran_server
09:10:34 PM  1011         -    320615    4.00    2.00    0.00    0.00    6.00    62  |__deptran_server
09:10:34 PM  1011         -    320617    3.00    2.50    0.00    0.00    5.50     6  |__deptran_server
09:10:34 PM  1011         -    320619    4.50    1.50    0.00    0.00    6.00    12  |__deptran_server

09:10:34 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:10:36 PM  1011    320584         -  368.00  121.00    0.00    0.00  489.00     7  deptran_server
09:10:36 PM  1011         -    320591   51.00   11.00    0.00    0.00   62.00    12  |__deptran_server
09:10:36 PM  1011         -    320592   10.50    8.50    0.00    1.00   19.00    25  |__deptran_server
09:10:36 PM  1011         -    320593   77.50   15.00    0.00    0.00   92.50    32  |__deptran_server
09:10:36 PM  1011         -    320594    8.00   12.50    0.00    1.00   20.50    34  |__deptran_server
09:10:36 PM  1011         -    320595   53.50    8.00    0.00    0.00   61.50    14  |__deptran_server
09:10:36 PM  1011         -    320596    8.50    9.50    0.00    0.50   18.00    13  |__deptran_server
09:10:36 PM  1011         -    320597   49.50   11.00    0.00    0.00   60.50    41  |__deptran_server
09:10:36 PM  1011         -    320598    7.50   11.00    0.00    0.50   18.50    24  |__deptran_server
09:10:36 PM  1011         -    320599   39.00    6.00    0.00    0.00   45.00    39  |__deptran_server
09:10:36 PM  1011         -    320600    9.00    9.00    0.00    0.50   18.00    50  |__deptran_server
09:10:36 PM  1011         -    320601    5.50    2.00    0.00    0.00    7.50    43  |__deptran_server
09:10:36 PM  1011         -    320603    6.00    1.50    0.00    0.00    7.50    46  |__deptran_server
09:10:36 PM  1011         -    320605    6.00    1.50    0.00    0.00    7.50    44  |__deptran_server
09:10:36 PM  1011         -    320607    5.00    2.00    0.00    0.00    7.00    38  |__deptran_server
09:10:36 PM  1011         -    320609    5.50    3.00    0.00    0.00    8.50     7  |__deptran_server
09:10:36 PM  1011         -    320611    5.50    2.00    0.00    0.00    7.50    17  |__deptran_server
09:10:36 PM  1011         -    320613    5.00    1.50    0.00    0.00    6.50    40  |__deptran_server
09:10:36 PM  1011         -    320615    5.50    2.50    0.00    0.00    8.00    60  |__deptran_server
09:10:36 PM  1011         -    320617    4.50    3.00    0.00    0.00    7.50     9  |__deptran_server
09:10:36 PM  1011         -    320619    4.00    3.50    0.00    0.00    7.50    33  |__deptran_server

09:10:36 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:10:38 PM  1011    320584         -  346.00  124.50    0.00    0.00  470.50     7  deptran_server
09:10:38 PM  1011         -    320591   49.00   10.50    0.00    0.00   59.50    10  |__deptran_server
09:10:38 PM  1011         -    320592    6.50   11.00    0.00    0.50   17.50    12  |__deptran_server
09:10:38 PM  1011         -    320593   76.00   11.00    0.00    0.00   87.00    41  |__deptran_server
09:10:38 PM  1011         -    320594    7.50   11.00    0.00    0.50   18.50    32  |__deptran_server
09:10:38 PM  1011         -    320595   49.00   11.00    0.00    0.00   60.00    14  |__deptran_server
09:10:38 PM  1011         -    320596    6.50   11.50    0.00    1.00   18.00     3  |__deptran_server
09:10:38 PM  1011         -    320597   47.50   11.00    0.00    0.00   58.50    38  |__deptran_server
09:10:38 PM  1011         -    320598    6.00   11.50    0.00    0.50   17.50    18  |__deptran_server
09:10:38 PM  1011         -    320599   38.50    6.00    0.00    0.00   44.50    40  |__deptran_server
09:10:38 PM  1011         -    320600    6.00   11.50    0.00    0.50   17.50    30  |__deptran_server
09:10:38 PM  1011         -    320601    4.50    3.00    0.00    0.00    7.50    42  |__deptran_server
