Linux 5.15.30-2-pve (zoo-003) 	07/17/2023 	_x86_64_	(64 CPU)

08:48:47 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:48:49 PM  1011    316352         -  256.10   59.76    0.00    0.00  315.85     9  deptran_server
08:48:49 PM  1011         -    316358    0.41    0.41    0.00    0.00    0.81    46  |__deptran_server
08:48:49 PM  1011         -    316359    2.03    2.03    0.00    0.00    4.07    33  |__deptran_server
08:48:49 PM  1011         -    316360    0.00    0.41    0.00    0.00    0.41    45  |__deptran_server
08:48:49 PM  1011         -    316361    1.63    2.44    0.00    0.00    4.07     8  |__deptran_server
08:48:49 PM  1011         -    316362    0.00    0.81    0.00    0.00    0.81    36  |__deptran_server
08:48:49 PM  1011         -    316363    2.03    2.03    0.00    0.00    4.07     9  |__deptran_server
08:48:49 PM  1011         -    316364    0.00    1.22    0.00    0.00    1.22     7  |__deptran_server
08:48:49 PM  1011         -    316365    1.63    2.44    0.00    0.00    4.07     6  |__deptran_server
08:48:49 PM  1011         -    316366    0.41    0.81    0.00    0.00    1.22    32  |__deptran_server
08:48:49 PM  1011         -    316367    2.85    0.81    0.00    0.00    3.66    14  |__deptran_server

08:48:49 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:48:51 PM  1011    316352         -  316.00  115.00    0.00    0.00  431.00    43  deptran_server
08:48:51 PM  1011         -    316352    0.50    0.50    0.00    0.00    1.00    43  |__deptran_server
08:48:51 PM  1011         -    316358   29.00    6.50    0.00    0.00   35.50    46  |__deptran_server
08:48:51 PM  1011         -    316359    8.00    8.50    0.00    0.00   16.50    57  |__deptran_server
08:48:51 PM  1011         -    316360   35.00   13.50    0.00    0.00   48.50     1  |__deptran_server
08:48:51 PM  1011         -    316361    6.50   11.00    0.00    0.00   17.50     4  |__deptran_server
08:48:51 PM  1011         -    316362   64.00   11.00    0.00    0.00   75.00     9  |__deptran_server
08:48:51 PM  1011         -    316363    9.00    9.50    0.00    0.00   18.50    13  |__deptran_server
08:48:51 PM  1011         -    316364   38.00    7.00    0.00    0.00   45.00    39  |__deptran_server
