Linux 5.15.30-2-pve (zoo-003) 	07/17/2023 	_x86_64_	(64 CPU)

09:05:04 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:05:06 PM  1011    319565         -  254.84   58.47    0.00    0.00  313.31    13  deptran_server
09:05:06 PM  1011         -    319571    0.81    0.40    0.00    0.00    1.21    37  |__deptran_server
09:05:06 PM  1011         -    319572    0.00    4.44    0.00    0.00    4.44    33  |__deptran_server
09:05:06 PM  1011         -    319573    0.81    0.00    0.00    0.00    0.81    12  |__deptran_server
09:05:06 PM  1011         -    319574    2.02    2.82    0.00    0.00    4.84     9  |__deptran_server
09:05:06 PM  1011         -    319575    0.00    0.81    0.00    0.00    0.81    15  |__deptran_server
09:05:06 PM  1011         -    319576    0.81    3.63    0.00    0.00    4.44    14  |__deptran_server
09:05:06 PM  1011         -    319577    0.40    0.40    0.00    0.00    0.81     8  |__deptran_server
09:05:06 PM  1011         -    319578    2.42    2.02    0.00    0.00    4.44    42  |__deptran_server
09:05:06 PM  1011         -    319579    0.00    1.21    0.00    0.00    1.21    16  |__deptran_server
09:05:06 PM  1011         -    319580    2.02    2.02    0.00    0.00    4.03    20  |__deptran_server

09:05:06 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:05:08 PM  1011    319565         -  289.00  120.00    0.00    0.00  409.00    13  deptran_server
09:05:08 PM  1011         -    319565    0.00    0.50    0.00    0.00    0.50    13  |__deptran_server
09:05:08 PM  1011         -    319571   38.50   10.00    0.00    0.00   48.50     9  |__deptran_server
09:05:08 PM  1011         -    319572    5.50   12.00    0.00    0.00   17.50    26  |__deptran_server
09:05:08 PM  1011         -    319573   37.00   12.00    0.00    0.00   49.00     6  |__deptran_server
09:05:08 PM  1011         -    319574    5.50   10.50    0.00    0.00   16.00     2  |__deptran_server
09:05:08 PM  1011         -    319575   31.50    9.50    0.00    0.00   41.00    21  |__deptran_server
09:05:08 PM  1011         -    319576    6.50   10.00    0.00    0.00   16.50    39  |__deptran_server
09:05:08 PM  1011         -    319577   58.50   13.00    0.00    0.00   71.50     8  |__deptran_server
09:05:08 PM  1011         -    319578   10.00    8.00    0.00    0.00   18.00    32  |__deptran_server
09:05:08 PM  1011         -    319579   37.50    9.50    0.00    0.00   47.00    16  |__deptran_server
09:05:08 PM  1011         -    319580    7.00    9.50    0.00    0.00   16.50    51  |__deptran_server
