Linux 5.15.30-2-pve (zoo-003) 	07/17/2023 	_x86_64_	(64 CPU)

09:17:44 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:17:46 PM  1011    321935         -  280.08   59.76    0.00    0.00  339.84    38  deptran_server
09:17:46 PM  1011         -    321941    0.80    0.40    0.00    0.00    1.20    40  |__deptran_server
09:17:46 PM  1011         -    321942    1.59    2.39    0.00    0.00    3.98    15  |__deptran_server
09:17:46 PM  1011         -    321943    0.40    0.80    0.00    0.00    1.20    41  |__deptran_server
09:17:46 PM  1011         -    321944    1.20    3.19    0.00    0.00    4.38    45  |__deptran_server
09:17:46 PM  1011         -    321945    0.00    0.80    0.00    0.00    0.80    39  |__deptran_server
09:17:46 PM  1011         -    321946    0.80    0.00    0.00    0.00    0.80    44  |__deptran_server
09:17:46 PM  1011         -    321947    1.99    2.79    0.00    0.00    4.78     1  |__deptran_server
09:17:46 PM  1011         -    321948    0.40    3.59    0.00    0.00    3.98     6  |__deptran_server
09:17:46 PM  1011         -    321949    0.00    0.80    0.00    0.00    0.80    34  |__deptran_server
09:17:46 PM  1011         -    321950    2.39    2.39    0.00    0.00    4.78     4  |__deptran_server

09:17:46 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:17:48 PM  1011    321935         -  254.00  140.00    0.00    0.00  394.00     0  deptran_server
09:17:48 PM  1011         -    321935    0.50    0.50    0.00    0.00    1.00     0  |__deptran_server
09:17:48 PM  1011         -    321941   34.50   12.00    0.00    0.00   46.50    40  |__deptran_server
09:17:48 PM  1011         -    321942    8.00   10.00    0.00    0.00   18.00    16  |__deptran_server
09:17:48 PM  1011         -    321943   53.50   18.00    0.00    0.00   71.50    46  |__deptran_server
09:17:48 PM  1011         -    321944    6.50   10.00    0.00    0.00   16.50    15  |__deptran_server
09:17:48 PM  1011         -    321945   34.50   12.50    0.00    0.00   47.00    11  |__deptran_server
09:17:48 PM  1011         -    321946   35.50   11.00    0.00    0.00   46.50    12  |__deptran_server
09:17:48 PM  1011         -    321947    5.00   10.50    0.00    0.00   15.50    47  |__deptran_server
09:17:48 PM  1011         -    321948    9.00    8.50    0.00    0.00   17.50    43  |__deptran_server
09:17:48 PM  1011         -    321949   27.00    9.00    0.00    0.00   36.00     6  |__deptran_server
09:17:48 PM  1011         -    321950    4.00   11.50    0.00    0.50   15.50     1  |__deptran_server
09:17:48 PM  1011         -    321970    3.50    3.50    0.00    0.00    7.00    17  |__deptran_server
09:17:48 PM  1011         -    321972    3.50    2.00    0.00    0.00    5.50    57  |__deptran_server
09:17:48 PM  1011         -    321974    4.00    2.50    0.00    0.00    6.50    33  |__deptran_server
09:17:48 PM  1011         -    321976    4.00    1.00    0.00    0.00    5.00    41  |__deptran_server
09:17:48 PM  1011         -    321978    4.50    2.00    0.00    0.00    6.50    38  |__deptran_server
09:17:48 PM  1011         -    321980    2.50    3.00    0.00    0.00    5.50    51  |__deptran_server
09:17:48 PM  1011         -    321982    3.00    3.50    0.00    0.00    6.50    35  |__deptran_server
09:17:48 PM  1011         -    321984    2.00    3.50    0.00    0.00    5.50    37  |__deptran_server
09:17:48 PM  1011         -    321986    2.00    3.00    0.00    0.00    5.00    44  |__deptran_server
09:17:48 PM  1011         -    321988    3.50    3.00    0.00    0.00    6.50    62  |__deptran_server

09:17:48 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:17:50 PM  1011    321935         -  347.00  141.00    0.00    0.00  488.00     0  deptran_server
09:17:50 PM  1011         -    321941   45.00   15.50    0.00    0.00   60.50     8  |__deptran_server
09:17:50 PM  1011         -    321942   10.00    8.50    0.00    1.00   18.50    50  |__deptran_server
09:17:50 PM  1011         -    321943   75.50   17.50    0.00    0.00   93.00     0  |__deptran_server
09:17:50 PM  1011         -    321944    9.00   10.50    0.00    1.00   19.50     6  |__deptran_server
09:17:50 PM  1011         -    321945   48.00   13.50    0.00    0.00   61.50    39  |__deptran_server
09:17:50 PM  1011         -    321946   51.50    9.50    0.00    0.00   61.00    12  |__deptran_server
09:17:50 PM  1011         -    321947    6.00   12.00    0.00    1.00   18.00    48  |__deptran_server
09:17:50 PM  1011         -    321948    5.00   13.00    0.00    1.00   18.00    45  |__deptran_server
09:17:50 PM  1011         -    321949   38.00    7.50    0.00    0.00   45.50    36  |__deptran_server
09:17:50 PM  1011         -    321950    6.00   12.50    0.00    0.50   18.50    15  |__deptran_server
09:17:50 PM  1011         -    321970    3.50    3.50    0.00    0.00    7.00    20  |__deptran_server
09:17:50 PM  1011         -    321972    5.00    2.50    0.00    0.00    7.50     1  |__deptran_server
09:17:50 PM  1011         -    321974    5.00    2.00    0.00    0.00    7.00    26  |__deptran_server
09:17:50 PM  1011         -    321976    4.50    2.50    0.00    0.00    7.00    43  |__deptran_server
09:17:50 PM  1011         -    321978    5.00    2.00    0.00    0.00    7.00    33  |__deptran_server
09:17:50 PM  1011         -    321980    5.50    2.50    0.00    0.00    8.00    52  |__deptran_server
09:17:50 PM  1011         -    321982    4.00    3.50    0.00    0.00    7.50    37  |__deptran_server
09:17:50 PM  1011         -    321984    5.50    2.00    0.00    0.00    7.50    35  |__deptran_server
09:17:50 PM  1011         -    321986    4.00    3.50    0.00    0.00    7.50    47  |__deptran_server
09:17:50 PM  1011         -    321988    5.00    2.00    0.00    0.00    7.00    62  |__deptran_server

09:17:50 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:17:52 PM  1011    321935         -  339.00  132.00    0.00    0.00  471.00     0  deptran_server
09:17:52 PM  1011         -    321941   48.50   12.50    0.00    0.00   61.00    14  |__deptran_server
09:17:52 PM  1011         -    321942    6.00   12.00    0.00    0.50   18.00    23  |__deptran_server
09:17:52 PM  1011         -    321943   75.50   15.00    0.00    0.00   90.50    32  |__deptran_server
09:17:52 PM  1011         -    321944    7.50   11.00    0.00    0.50   18.50    33  |__deptran_server
09:17:52 PM  1011         -    321945   47.50   11.50    0.00    0.00   59.00    39  |__deptran_server
09:17:52 PM  1011         -    321946   46.50   11.00    0.00    0.00   57.50     9  |__deptran_server
09:17:52 PM  1011         -    321947    7.50   10.00    0.00    0.00   17.50    37  |__deptran_server
09:17:52 PM  1011         -    321948    7.50   10.00    0.00    0.50   17.50     7  |__deptran_server
09:17:52 PM  1011         -    321949   37.00    6.00    0.00    0.00   43.00     6  |__deptran_server
09:17:52 PM  1011         -    321950    8.00   10.00    0.00    0.50   18.00    44  |__deptran_server
09:17:52 PM  1011         -    321970    4.50    3.00    0.00    0.00    7.50    20  |__deptran_server
09:17:52 PM  1011         -    321972    4.50    2.00    0.00    0.00    6.50     1  |__deptran_server
09:17:52 PM  1011         -    321974    4.50    2.00    0.00    0.00    6.50    26  |__deptran_server
09:17:52 PM  1011         -    321976    5.00    2.50    0.00    0.00    7.50    43  |__deptran_server
09:17:52 PM  1011         -    321978    6.50    1.50    0.00    0.00    8.00    15  |__deptran_server
09:17:52 PM  1011         -    321980    4.00    2.50    0.00    0.00    6.50    52  |__deptran_server
09:17:52 PM  1011         -    321982    3.00    3.00    0.00    0.00    6.00    40  |__deptran_server
09:17:52 PM  1011         -    321984    4.00    2.50    0.00    0.00    6.50    35  |__deptran_server
09:17:52 PM  1011         -    321986    4.50    3.00    0.00    0.00    7.50    47  |__deptran_server
09:17:52 PM  1011         -    321988    3.50    3.50    0.00    0.00    7.00    62  |__deptran_server

09:17:52 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:17:54 PM  1011    321935         -  346.50  135.00    0.00    0.00  481.50     0  deptran_server
09:17:54 PM  1011         -    321941   49.50   12.00    0.00    0.00   61.50    14  |__deptran_server
09:17:54 PM  1011         -    321942    8.00   11.00    0.00    0.50   19.00    22  |__deptran_server
09:17:54 PM  1011         -    321943   75.50   15.00    0.00    0.00   90.50    32  |__deptran_server
09:17:54 PM  1011         -    321944    7.50   11.50    0.00    0.50   19.00     3  |__deptran_server
09:17:54 PM  1011         -    321945   49.00   12.00    0.00    0.00   61.00     2  |__deptran_server
09:17:54 PM  1011         -    321946   46.00   13.00    0.00    0.00   59.00     9  |__deptran_server
09:17:54 PM  1011         -    321947    6.50   11.50    0.00    1.00   18.00     8  |__deptran_server
09:17:54 PM  1011         -    321948    8.50    9.00    0.00    0.50   17.50    47  |__deptran_server
09:17:54 PM  1011         -    321949   38.00    8.50    0.00    0.00   46.50     6  |__deptran_server
09:17:54 PM  1011         -    321950    8.50    8.50    0.00    0.50   17.00    10  |__deptran_server
09:17:54 PM  1011         -    321970    5.00    2.50    0.00    0.00    7.50    20  |__deptran_server
09:17:54 PM  1011         -    321972    4.50    2.50    0.00    0.00    7.00    34  |__deptran_server
09:17:54 PM  1011         -    321974    5.00    2.50    0.00    0.00    7.50     1  |__deptran_server
09:17:54 PM  1011         -    321976    4.50    2.50    0.00    0.00    7.00    31  |__deptran_server
09:17:54 PM  1011         -    321978    5.00    2.50    0.00    0.00    7.50    53  |__deptran_server
09:17:54 PM  1011         -    321980    4.00    3.50    0.00    0.00    7.50    52  |__deptran_server
