Linux 5.15.30-2-pve (zoo-003) 	07/12/2023 	_x86_64_	(64 CPU)

04:19:22 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:19:23 PM  1011   3120646         -  200.00   47.62    0.00    0.00  247.62    38  deptran_server
04:19:23 PM  1011         -   3120647   65.31   14.29    0.00    0.00   79.59    40  |__deptran_server
04:19:23 PM  1011         -   3120649   65.99   13.61    0.00    0.00   79.59    13  |__deptran_server
04:19:23 PM  1011         -   3120651    0.68    0.68    0.00    0.00    1.36    34  |__deptran_server
04:19:23 PM  1011         -   3120653    0.68    0.68    0.00    0.00    1.36    39  |__deptran_server
04:19:23 PM  1011         -   3120655    0.68    0.68    0.00    0.00    1.36    41  |__deptran_server

04:19:23 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:19:24 PM  1011   3120646         -   23.00   17.00    0.00    0.00   40.00    38  deptran_server
04:19:24 PM  1011         -   3120650    1.00    2.00    0.00    0.00    3.00    14  |__deptran_server
04:19:24 PM  1011         -   3120651    5.00    5.00    0.00    0.00   10.00    33  |__deptran_server
04:19:24 PM  1011         -   3120652    0.00    3.00    0.00    0.00    3.00    13  |__deptran_server
04:19:24 PM  1011         -   3120653    5.00    4.00    0.00    0.00    9.00    39  |__deptran_server
04:19:24 PM  1011         -   3120654    1.00    2.00    0.00    0.00    3.00    11  |__deptran_server
04:19:24 PM  1011         -   3120655    4.00    6.00    0.00    0.00   10.00    41  |__deptran_server

04:19:24 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:19:25 PM  1011   3120646         -  171.00   80.00    0.00    0.00  251.00    38  deptran_server
04:19:25 PM  1011         -   3120646    1.00    0.00    0.00    0.00    1.00    38  |__deptran_server
04:19:25 PM  1011         -   3120650   52.00   16.00    0.00    0.00   68.00    12  |__deptran_server
04:19:25 PM  1011         -   3120651    7.00    8.00    0.00    0.00   15.00    19  |__deptran_server
04:19:25 PM  1011         -   3120652   31.00    8.00    0.00    0.00   39.00    38  |__deptran_server
04:19:25 PM  1011         -   3120653    6.00   10.00    0.00    0.00   16.00    41  |__deptran_server
04:19:25 PM  1011         -   3120654   33.00    9.00    0.00    0.00   42.00    11  |__deptran_server
04:19:25 PM  1011         -   3120655    5.00   10.00    0.00    0.00   15.00     2  |__deptran_server
04:19:25 PM  1011         -   3120673    4.00    1.00    0.00    0.00    5.00    25  |__deptran_server
04:19:25 PM  1011         -   3120675    2.00    2.00    0.00    0.00    4.00     1  |__deptran_server
04:19:25 PM  1011         -   3120677    3.00    1.00    0.00    0.00    4.00    40  |__deptran_server
04:19:25 PM  1011         -   3120679    4.00    1.00    0.00    0.00    5.00    43  |__deptran_server
04:19:25 PM  1011         -   3120681    5.00    0.00    0.00    0.00    5.00    44  |__deptran_server
04:19:25 PM  1011         -   3120683    4.00    1.00    0.00    0.00    5.00    46  |__deptran_server
04:19:25 PM  1011         -   3120685    3.00    1.00    0.00    0.00    4.00     0  |__deptran_server
04:19:25 PM  1011         -   3120687    3.00    1.00    0.00    0.00    4.00    34  |__deptran_server
04:19:25 PM  1011         -   3120689    4.00    0.00    0.00    0.00    4.00    39  |__deptran_server
04:19:25 PM  1011         -   3120691    3.00    2.00    0.00    0.00    5.00    37  |__deptran_server

04:19:25 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:19:26 PM  1011   3120646         -  167.00   73.00    0.00    0.00  240.00    38  deptran_server
04:19:26 PM  1011         -   3120650   52.00   13.00    0.00    0.00   65.00    36  |__deptran_server
04:19:26 PM  1011         -   3120651    6.00    8.00    0.00    0.00   14.00    19  |__deptran_server
04:19:26 PM  1011         -   3120652   31.00   11.00    0.00    0.00   42.00    29  |__deptran_server
04:19:26 PM  1011         -   3120653    5.00    9.00    0.00    0.00   14.00    15  |__deptran_server
04:19:26 PM  1011         -   3120654   28.00   11.00    0.00    0.00   39.00    11  |__deptran_server
04:19:26 PM  1011         -   3120655    6.00    9.00    0.00    0.00   15.00    34  |__deptran_server
04:19:26 PM  1011         -   3120673    3.00    3.00    0.00    0.00    6.00    25  |__deptran_server
04:19:26 PM  1011         -   3120675    4.00    1.00    0.00    0.00    5.00    47  |__deptran_server
04:19:26 PM  1011         -   3120677    4.00    1.00    0.00    0.00    5.00    39  |__deptran_server
04:19:26 PM  1011         -   3120679    3.00    2.00    0.00    0.00    5.00    45  |__deptran_server
04:19:26 PM  1011         -   3120681    3.00    2.00    0.00    0.00    5.00    44  |__deptran_server
04:19:26 PM  1011         -   3120683    3.00    2.00    0.00    0.00    5.00    46  |__deptran_server
04:19:26 PM  1011         -   3120685    3.00    3.00    0.00    0.00    6.00     0  |__deptran_server
04:19:26 PM  1011         -   3120687    3.00    2.00    0.00    0.00    5.00    37  |__deptran_server
04:19:26 PM  1011         -   3120689    4.00    1.00    0.00    0.00    5.00    38  |__deptran_server
04:19:26 PM  1011         -   3120691    4.00    1.00    0.00    0.00    5.00    35  |__deptran_server

04:19:26 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:19:27 PM  1011   3120646         -  159.00   64.00    0.00    0.00  223.00    38  deptran_server
04:19:27 PM  1011         -   3120650   47.00   13.00    0.00    0.00   60.00    36  |__deptran_server
04:19:27 PM  1011         -   3120651    5.00    9.00    0.00    0.00   14.00    50  |__deptran_server
04:19:27 PM  1011         -   3120652   32.00    7.00    0.00    0.00   39.00     0  |__deptran_server
04:19:27 PM  1011         -   3120653    5.00    8.00    0.00    0.00   13.00    41  |__deptran_server
04:19:27 PM  1011         -   3120654   30.00    6.00    0.00    0.00   36.00    13  |__deptran_server
04:19:27 PM  1011         -   3120655    7.00    6.00    0.00    0.00   13.00     1  |__deptran_server
04:19:27 PM  1011         -   3120673    3.00    1.00    0.00    0.00    4.00    24  |__deptran_server
04:19:27 PM  1011         -   3120675    3.00    2.00    0.00    0.00    5.00    47  |__deptran_server
04:19:27 PM  1011         -   3120677    2.00    3.00    0.00    0.00    5.00    39  |__deptran_server
