Linux 5.15.30-2-pve (zoo-003) 	06/29/2023 	_x86_64_	(64 CPU)

04:50:49 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:50:51 AM  1011   3641781         -  174.84   37.74    0.00    0.00  212.58     4  deptran_server
04:50:51 AM  1011         -   3641783   55.35   13.21    0.00    0.00   68.55     2  |__deptran_server
04:50:51 AM  1011         -   3641784   55.35    9.43    0.00    0.00   64.78     5  |__deptran_server
04:50:51 AM  1011         -   3641785    0.00    0.63    0.00    0.00    0.63     5  |__deptran_server
04:50:51 AM  1011         -   3641786    0.63    1.26    0.00    0.00    1.89    13  |__deptran_server
04:50:51 AM  1011         -   3641788    1.26    0.63    0.00    0.00    1.89    39  |__deptran_server
04:50:51 AM  1011         -   3641789    0.00    0.63    0.00    0.00    0.63    43  |__deptran_server
04:50:51 AM  1011         -   3641790    0.63    1.26    0.00    0.00    1.89    15  |__deptran_server

04:50:51 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:50:52 AM  1011   3641781         -   49.00   36.00    0.00    0.00   85.00     4  deptran_server
04:50:52 AM  1011         -   3641781    1.00    0.00    0.00    0.00    1.00     4  |__deptran_server
04:50:52 AM  1011         -   3641785    4.00    0.00    0.00    0.00    4.00    44  |__deptran_server
04:50:52 AM  1011         -   3641786    5.00    6.00    0.00    0.00   11.00    48  |__deptran_server
04:50:52 AM  1011         -   3641787    2.00    3.00    0.00    0.00    5.00    34  |__deptran_server
04:50:52 AM  1011         -   3641788    5.00    6.00    0.00    0.00   11.00     5  |__deptran_server
04:50:52 AM  1011         -   3641789    3.00    3.00    0.00    0.00    6.00    45  |__deptran_server
04:50:52 AM  1011         -   3641790    4.00    7.00    0.00    0.00   11.00    38  |__deptran_server
04:50:52 AM  1011         -   3641793    4.00    2.00    0.00    0.00    6.00     8  |__deptran_server
04:50:52 AM  1011         -   3641795    4.00    2.00    0.00    0.00    6.00    39  |__deptran_server
04:50:52 AM  1011         -   3641797    1.00    2.00    0.00    0.00    3.00     7  |__deptran_server
04:50:52 AM  1011         -   3641799    2.00    1.00    0.00    0.00    3.00    26  |__deptran_server
04:50:52 AM  1011         -   3641801    2.00    2.00    0.00    0.00    4.00     9  |__deptran_server
04:50:52 AM  1011         -   3641803    2.00    1.00    0.00    0.00    3.00    43  |__deptran_server
04:50:52 AM  1011         -   3641805    2.00    2.00    0.00    0.00    4.00     4  |__deptran_server

04:50:52 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:50:53 AM  1011   3641781         -  753.00  126.00    0.00    0.00  879.00     4  deptran_server
04:50:53 AM  1011         -   3641785   19.00    7.00    0.00    0.00   26.00    46  |__deptran_server
04:50:53 AM  1011         -   3641786    8.00   11.00    0.00    0.00   19.00    48  |__deptran_server
04:50:53 AM  1011         -   3641787   16.00    6.00    0.00    0.00   22.00    34  |__deptran_server
04:50:53 AM  1011         -   3641788    6.00   11.00    0.00    0.00   17.00    59  |__deptran_server
04:50:53 AM  1011         -   3641789   65.00   29.00    0.00    0.00   94.00    45  |__deptran_server
04:50:53 AM  1011         -   3641790   12.00   19.00    0.00    1.00   31.00     6  |__deptran_server
04:50:53 AM  1011         -   3641793   85.00    9.00    0.00    0.00   94.00     5  |__deptran_server
04:50:53 AM  1011         -   3641795   90.00    5.00    0.00    0.00   95.00    39  |__deptran_server
04:50:53 AM  1011         -   3641797   89.00    8.00    0.00    0.00   97.00    32  |__deptran_server
04:50:53 AM  1011         -   3641799   90.00    5.00    0.00    0.00   95.00    26  |__deptran_server
04:50:53 AM  1011         -   3641801   87.00    7.00    0.00    0.00   94.00    16  |__deptran_server
04:50:53 AM  1011         -   3641803   87.00    8.00    0.00    0.00   95.00    43  |__deptran_server
04:50:53 AM  1011         -   3641805   87.00    6.00    0.00    0.00   93.00     4  |__deptran_server

04:50:53 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
