Linux 5.15.30-2-pve (zoo-003) 	06/29/2023 	_x86_64_	(64 CPU)

05:54:30 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:54:31 AM  1011   3654823         -  155.00   42.50    0.00    0.00  197.50    34  deptran_server
05:54:31 AM  1011         -   3654824   48.12    9.38    0.00    0.00   57.50     6  |__deptran_server
05:54:31 AM  1011         -   3654825   50.62    8.75    0.00    0.00   59.38     7  |__deptran_server
05:54:31 AM  1011         -   3654829    0.62    0.00    0.00    0.00    0.62     6  |__deptran_server
05:54:31 AM  1011         -   3654830    0.62    1.88    0.00    0.00    2.50    42  |__deptran_server
05:54:31 AM  1011         -   3654832    0.62    1.88    0.00    0.00    2.50     5  |__deptran_server
05:54:31 AM  1011         -   3654834    0.00    1.88    0.00    0.00    1.88    41  |__deptran_server

05:54:31 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:54:32 AM  1011   3654823         -   25.00   28.00    0.00    0.00   53.00    34  deptran_server
05:54:32 AM  1011         -   3654823    0.00    1.00    0.00    0.00    1.00    34  |__deptran_server
05:54:32 AM  1011         -   3654829    1.00    2.00    0.00    0.00    3.00    42  |__deptran_server
05:54:32 AM  1011         -   3654830    3.00    7.00    0.00    0.00   10.00    42  |__deptran_server
05:54:32 AM  1011         -   3654831    1.00    2.00    0.00    0.00    3.00    32  |__deptran_server
05:54:32 AM  1011         -   3654832    4.00    7.00    0.00    0.00   11.00     5  |__deptran_server
05:54:32 AM  1011         -   3654833    1.00    1.00    0.00    0.00    2.00    14  |__deptran_server
05:54:32 AM  1011         -   3654834    3.00    8.00    0.00    0.00   11.00    45  |__deptran_server
05:54:32 AM  1011         -   3654837    3.00    1.00    0.00    0.00    4.00    41  |__deptran_server
05:54:32 AM  1011         -   3654839    2.00    1.00    0.00    0.00    3.00    36  |__deptran_server
05:54:32 AM  1011         -   3654841    1.00    2.00    0.00    0.00    3.00     6  |__deptran_server

05:54:32 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:54:33 AM  1011   3654823         -  636.00  242.00    0.00    0.00  878.00     4  deptran_server
05:54:33 AM  1011         -   3654829   66.00   29.00    0.00    0.00   95.00    40  |__deptran_server
