Linux 5.15.30-2-pve (zoo-003) 	07/13/2023 	_x86_64_	(64 CPU)

06:13:52 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:13:54 PM  1011   3439440         -  412.12   84.24    0.00    0.00  496.36    13  deptran_server
06:13:54 PM  1011         -   3439441   53.94   10.91    0.00    0.00   64.85    47  |__deptran_server
06:13:54 PM  1011         -   3439443   61.21    8.48    0.00    0.00   69.70     5  |__deptran_server
06:13:54 PM  1011         -   3439444   54.55    8.48    0.00    0.00   63.03    40  |__deptran_server
06:13:54 PM  1011         -   3439445   55.76   13.94    0.00    0.00   69.70    32  |__deptran_server
06:13:54 PM  1011         -   3439446   52.73   10.91    0.00    0.00   63.64    42  |__deptran_server
06:13:54 PM  1011         -   3439447   56.97    7.88    0.00    0.00   64.85    12  |__deptran_server
06:13:54 PM  1011         -   3439451    1.21    1.21    0.00    0.00    2.42    34  |__deptran_server
06:13:54 PM  1011         -   3439453    0.00    2.42    0.00    0.00    2.42     3  |__deptran_server
06:13:54 PM  1011         -   3439456    1.21    1.21    0.00    0.00    2.42    12  |__deptran_server
06:13:54 PM  1011         -   3439458    0.00    1.82    0.00    0.00    1.82    43  |__deptran_server
06:13:54 PM  1011         -   3439460    0.00    2.42    0.00    0.00    2.42    46  |__deptran_server
06:13:54 PM  1011         -   3439462    0.61    0.00    0.00    0.00    0.61    15  |__deptran_server
06:13:54 PM  1011         -   3439463    0.61    1.21    0.00    0.00    1.82    41  |__deptran_server
06:13:54 PM  1011         -   3439465    0.00    1.21    0.00    0.00    1.21    52  |__deptran_server

06:13:54 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:13:55 PM  1011   3439440         -   85.00   49.00    0.00    0.00  134.00    12  deptran_server
06:13:55 PM  1011         -   3439440    1.00    2.00    0.00    0.00    3.00    12  |__deptran_server
06:13:55 PM  1011         -   3439450    2.00    2.00    0.00    0.00    4.00     1  |__deptran_server
06:13:55 PM  1011         -   3439451    5.00    7.00    0.00    0.00   12.00     5  |__deptran_server
06:13:55 PM  1011         -   3439452    2.00    4.00    0.00    0.00    6.00    47  |__deptran_server
06:13:55 PM  1011         -   3439453    2.00    9.00    0.00    0.00   11.00     3  |__deptran_server
06:13:55 PM  1011         -   3439455    1.00    4.00    0.00    0.00    5.00    13  |__deptran_server
06:13:55 PM  1011         -   3439456    6.00    5.00    0.00    0.00   11.00    35  |__deptran_server
06:13:55 PM  1011         -   3439457    5.00    4.00    0.00    0.00    9.00    10  |__deptran_server
06:13:55 PM  1011         -   3439458    3.00   10.00    0.00    0.00   13.00    11  |__deptran_server
06:13:55 PM  1011         -   3439459    3.00    3.00    0.00    0.00    6.00    34  |__deptran_server
06:13:55 PM  1011         -   3439460    4.00    8.00    0.00    0.00   12.00    36  |__deptran_server
06:13:55 PM  1011         -   3439462    0.00    3.00    0.00    0.00    3.00    15  |__deptran_server
06:13:55 PM  1011         -   3439463    4.00    8.00    0.00    0.00   12.00    44  |__deptran_server
06:13:55 PM  1011         -   3439464    3.00    2.00    0.00    0.00    5.00    16  |__deptran_server
06:13:55 PM  1011         -   3439465    0.00   12.00    0.00    0.00   12.00    20  |__deptran_server
06:13:55 PM  1011         -   3439466    1.00    0.00    0.00    0.00    1.00     4  |__deptran_server

06:13:55 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:13:56 PM  1011   3439440         -  378.00  291.00    0.00    0.00  669.00     8  deptran_server
06:13:56 PM  1011         -   3439440    1.00    3.00    0.00    0.00    4.00     8  |__deptran_server
06:13:56 PM  1011         -   3439450   22.00   17.00    0.00    0.00   39.00    22  |__deptran_server
06:13:56 PM  1011         -   3439451    9.00   11.00    0.00    0.00   20.00    18  |__deptran_server
06:13:56 PM  1011         -   3439452   23.00   18.00    0.00    0.00   41.00    56  |__deptran_server
06:13:56 PM  1011         -   3439453    7.00   12.00    0.00    0.00   19.00    13  |__deptran_server
06:13:56 PM  1011         -   3439455   26.00   10.00    0.00    0.00   36.00    36  |__deptran_server
06:13:56 PM  1011         -   3439456    7.00   12.00    0.00    0.00   19.00    12  |__deptran_server
06:13:56 PM  1011         -   3439457   68.00   26.00    0.00    0.00   94.00     4  |__deptran_server
06:13:56 PM  1011         -   3439458   11.00    8.00    0.00    0.00   19.00    15  |__deptran_server
06:13:56 PM  1011         -   3439459   30.00   12.00    0.00    0.00   42.00    48  |__deptran_server
06:13:56 PM  1011         -   3439460   12.00    6.00    0.00    0.00   18.00    20  |__deptran_server
06:13:56 PM  1011         -   3439462   23.00    8.00    0.00    0.00   31.00    37  |__deptran_server
06:13:56 PM  1011         -   3439463    7.00   11.00    0.00    0.00   18.00    35  |__deptran_server
06:13:56 PM  1011         -   3439464   24.00   16.00    0.00    0.00   40.00    52  |__deptran_server
06:13:56 PM  1011         -   3439465    7.00   10.00    0.00    0.00   17.00    17  |__deptran_server
06:13:56 PM  1011         -   3439466    4.00    1.00    0.00    0.00    5.00    10  |__deptran_server
06:13:56 PM  1011         -   3439468    3.00    3.00    0.00    0.00    6.00    25  |__deptran_server
06:13:56 PM  1011         -   3439470    3.00    2.00    0.00    0.00    5.00    60  |__deptran_server
06:13:56 PM  1011         -   3439472    2.00    4.00    0.00    0.00    6.00     6  |__deptran_server
06:13:56 PM  1011         -   3439474    3.00    3.00    0.00    0.00    6.00     5  |__deptran_server
06:13:56 PM  1011         -   3439476    2.00    3.00    0.00    0.00    5.00    21  |__deptran_server
06:13:56 PM  1011         -   3439478    3.00    3.00    0.00    0.00    6.00    39  |__deptran_server
06:13:56 PM  1011         -   3439480    4.00    2.00    0.00    0.00    6.00    51  |__deptran_server
06:13:56 PM  1011         -   3439482    1.00    4.00    0.00    0.00    5.00    45  |__deptran_server
06:13:56 PM  1011         -   3439484    2.00    4.00    0.00    0.00    6.00    29  |__deptran_server
06:13:56 PM  1011         -   3439486    3.00    2.00    0.00    0.00    5.00    58  |__deptran_server
06:13:56 PM  1011         -   3439488    2.00    2.00    0.00    0.00    4.00    62  |__deptran_server
06:13:56 PM  1011         -   3439490    3.00    2.00    0.00    0.00    5.00    43  |__deptran_server
06:13:56 PM  1011         -   3439492    1.00    3.00    0.00    0.00    4.00    16  |__deptran_server
06:13:56 PM  1011         -   3439494    3.00    2.00    0.00    0.00    5.00    42  |__deptran_server
06:13:56 PM  1011         -   3439496    3.00    2.00    0.00    0.00    5.00    53  |__deptran_server
06:13:56 PM  1011         -   3439498    3.00    2.00    0.00    0.00    5.00    32  |__deptran_server
06:13:56 PM  1011         -   3439500    1.00    4.00    0.00    0.00    5.00    30  |__deptran_server
06:13:56 PM  1011         -   3439502    3.00    2.00    0.00    0.00    5.00     1  |__deptran_server
06:13:56 PM  1011         -   3439504    2.00    3.00    0.00    0.00    5.00    61  |__deptran_server
06:13:56 PM  1011         -   3439506    1.00    4.00    0.00    0.00    5.00    54  |__deptran_server
06:13:56 PM  1011         -   3439508    1.00    3.00    0.00    0.00    4.00    49  |__deptran_server
06:13:56 PM  1011         -   3439510    2.00    1.00    0.00    0.00    3.00    38  |__deptran_server
06:13:56 PM  1011         -   3439512    5.00    0.00    0.00    0.00    5.00    19  |__deptran_server
06:13:56 PM  1011         -   3439514    2.00    2.00    0.00    0.00    4.00    14  |__deptran_server
06:13:56 PM  1011         -   3439516    2.00    2.00    0.00    0.00    4.00    16  |__deptran_server
06:13:56 PM  1011         -   3439518    2.00    2.00    0.00    0.00    4.00     3  |__deptran_server
06:13:56 PM  1011         -   3439520    0.00    4.00    0.00    0.00    4.00    11  |__deptran_server
06:13:56 PM  1011         -   3439522    1.00    3.00    0.00    0.00    4.00     6  |__deptran_server
06:13:56 PM  1011         -   3439524    3.00    1.00    0.00    0.00    4.00    55  |__deptran_server
06:13:56 PM  1011         -   3439526    2.00    3.00    0.00    0.00    5.00    31  |__deptran_server
06:13:56 PM  1011         -   3439528    2.00    2.00    0.00    0.00    4.00     1  |__deptran_server
06:13:56 PM  1011         -   3439530    2.00    2.00    0.00    0.00    4.00     0  |__deptran_server
06:13:56 PM  1011         -   3439532    4.00    1.00    0.00    0.00    5.00    26  |__deptran_server
06:13:56 PM  1011         -   3439534    2.00    2.00    0.00    0.00    4.00    49  |__deptran_server
06:13:56 PM  1011         -   3439536    2.00    2.00    0.00    0.00    4.00     9  |__deptran_server
06:13:56 PM  1011         -   3439538    2.00    2.00    0.00    0.00    4.00    59  |__deptran_server
06:13:56 PM  1011         -   3439540    1.00    3.00    0.00    0.00    4.00    34  |__deptran_server
06:13:56 PM  1011         -   3439542    2.00    2.00    0.00    0.00    4.00     9  |__deptran_server
06:13:56 PM  1011         -   3439544    1.00    3.00    0.00    0.00    4.00    33  |__deptran_server

06:13:56 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:13:57 PM  1011   3439440         -  409.00  245.00    0.00    0.00  654.00     8  deptran_server
06:13:57 PM  1011         -   3439450   24.00   18.00    0.00    0.00   42.00    23  |__deptran_server
06:13:57 PM  1011         -   3439451    7.00   10.00    0.00    0.00   17.00    33  |__deptran_server
06:13:57 PM  1011         -   3439452   32.00   12.00    0.00    0.00   44.00    56  |__deptran_server
06:13:57 PM  1011         -   3439453    7.00   10.00    0.00    0.00   17.00    41  |__deptran_server
06:13:57 PM  1011         -   3439455   26.00    6.00    0.00    0.00   32.00     3  |__deptran_server
