Linux 5.15.30-2-pve (zoo-003) 	06/29/2023 	_x86_64_	(64 CPU)

04:56:16 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:56:17 AM  1011   3642731         -  174.67   39.33    0.00    0.00  214.00     3  deptran_server
04:56:17 AM  1011         -   3642733   56.00   10.67    0.00    0.00   66.67     2  |__deptran_server
04:56:17 AM  1011         -   3642734   56.67   10.67    0.00    0.00   67.33     0  |__deptran_server
04:56:17 AM  1011         -   3642735    0.67    0.00    0.00    0.00    0.67     2  |__deptran_server
04:56:17 AM  1011         -   3642736    1.33    0.67    0.00    0.00    2.00     3  |__deptran_server
04:56:17 AM  1011         -   3642738    0.00    2.00    0.00    0.00    2.00    46  |__deptran_server
04:56:17 AM  1011         -   3642739    0.00    0.67    0.00    0.00    0.67     5  |__deptran_server
04:56:17 AM  1011         -   3642740    0.67    1.33    0.00    0.00    2.00     1  |__deptran_server

04:56:17 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:56:18 AM  1011   3642731         -   28.00   20.00    0.00    0.00   48.00     4  deptran_server
04:56:18 AM  1011         -   3642731    0.00    1.00    0.00    0.00    1.00     4  |__deptran_server
04:56:18 AM  1011         -   3642735    2.00    1.00    0.00    0.00    3.00     2  |__deptran_server
04:56:18 AM  1011         -   3642736    3.00    8.00    0.00    0.00   11.00     9  |__deptran_server
04:56:18 AM  1011         -   3642737    2.00    2.00    0.00    0.00    4.00     4  |__deptran_server
04:56:18 AM  1011         -   3642738    5.00    7.00    0.00    0.00   12.00    14  |__deptran_server
04:56:18 AM  1011         -   3642739    1.00    2.00    0.00    0.00    3.00     5  |__deptran_server
04:56:18 AM  1011         -   3642740    3.00    9.00    0.00    0.00   12.00     2  |__deptran_server
04:56:18 AM  1011         -   3642758    0.00    1.00    0.00    0.00    1.00     0  |__deptran_server
04:56:18 AM  1011         -   3642760    1.00    0.00    0.00    0.00    1.00     1  |__deptran_server

04:56:18 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:56:19 AM  1011   3642731         -  700.00  172.00    0.00    0.00  872.00    34  deptran_server
04:56:19 AM  1011         -   3642735   21.00   11.00    0.00    0.00   32.00    35  |__deptran_server
04:56:19 AM  1011         -   3642736    8.00   12.00    0.00    0.00   20.00    20  |__deptran_server
04:56:19 AM  1011         -   3642737   13.00    3.00    0.00    0.00   16.00    11  |__deptran_server
04:56:19 AM  1011         -   3642738    5.00   10.00    0.00    0.00   15.00    10  |__deptran_server
04:56:19 AM  1011         -   3642739   66.00   24.00    0.00    0.00   90.00     4  |__deptran_server
04:56:19 AM  1011         -   3642740   12.00   16.00    0.00    1.00   28.00    40  |__deptran_server
04:56:19 AM  1011         -   3642758   82.00   14.00    0.00    0.00   96.00    32  |__deptran_server
04:56:19 AM  1011         -   3642759    1.00    0.00    0.00    0.00    1.00    32  |__deptran_server
04:56:19 AM  1011         -   3642760   84.00   12.00    0.00    0.00   96.00     7  |__deptran_server
04:56:19 AM  1011         -   3642762   75.00   18.00    0.00    0.00   93.00    16  |__deptran_server
04:56:19 AM  1011         -   3642763    1.00    0.00    0.00    0.00    1.00    38  |__deptran_server
04:56:19 AM  1011         -   3642764   80.00   13.00    0.00    0.00   93.00    48  |__deptran_server
04:56:19 AM  1011         -   3642765    0.00    1.00    0.00    0.00    1.00    46  |__deptran_server
04:56:19 AM  1011         -   3642766   79.00   13.00    0.00    0.00   92.00    44  |__deptran_server
04:56:19 AM  1011         -   3642768   86.00    7.00    0.00    0.00   93.00    47  |__deptran_server
04:56:19 AM  1011         -   3642769    0.00    1.00    0.00    0.00    1.00    15  |__deptran_server
04:56:19 AM  1011         -   3642770   79.00   13.00    0.00    0.00   92.00     9  |__deptran_server

04:56:19 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:56:20 AM  1011   3642731         -  547.00   58.00    0.00    0.00  605.00    34  deptran_server
04:56:20 AM  1011         -   3642735    2.00    1.00    0.00    0.00    3.00    35  |__deptran_server
04:56:20 AM  1011         -   3642736    4.00    5.00    0.00    0.00    9.00    54  |__deptran_server
04:56:20 AM  1011         -   3642737    1.00    2.00    0.00    0.00    3.00    13  |__deptran_server
04:56:20 AM  1011         -   3642738    4.00    7.00    0.00    0.00   11.00    51  |__deptran_server
04:56:20 AM  1011         -   3642739   68.00   23.00    0.00    0.00   91.00    14  |__deptran_server
04:56:20 AM  1011         -   3642740   11.00   18.00    0.00    1.00   29.00    12  |__deptran_server
04:56:20 AM  1011         -   3642758   62.00    1.00    0.00    0.00   63.00    34  |__deptran_server
04:56:20 AM  1011         -   3642760   64.00    1.00    0.00    0.00   65.00     7  |__deptran_server
04:56:20 AM  1011         -   3642762   67.00    2.00    0.00    0.00   69.00    31  |__deptran_server
04:56:20 AM  1011         -   3642764   64.00    3.00    0.00    0.00   67.00    48  |__deptran_server
04:56:20 AM  1011         -   3642766   64.00    1.00    0.00    0.00   65.00    44  |__deptran_server
04:56:20 AM  1011         -   3642768   66.00    1.00    0.00    0.00   67.00    47  |__deptran_server
04:56:20 AM  1011         -   3642770   65.00    1.00    0.00    0.00   66.00     9  |__deptran_server

04:56:20 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:56:21 AM  1011   3642731         -  633.00  106.00    0.00    0.00  739.00    34  deptran_server
04:56:21 AM  1011         -   3642735   22.00    6.00    0.00    0.00   28.00    35  |__deptran_server
04:56:21 AM  1011         -   3642736    7.00   14.00    0.00    0.00   21.00    54  |__deptran_server
04:56:21 AM  1011         -   3642737   42.00   21.00    0.00    0.00   63.00    12  |__deptran_server
04:56:21 AM  1011         -   3642738   12.00   21.00    0.00    1.00   33.00    32  |__deptran_server
04:56:21 AM  1011         -   3642739   66.00   26.00    0.00    0.00   92.00     9  |__deptran_server
04:56:21 AM  1011         -   3642740   10.00   18.00    0.00    0.00   28.00     8  |__deptran_server
04:56:21 AM  1011         -   3642758   68.00    1.00    0.00    0.00   69.00    34  |__deptran_server
04:56:21 AM  1011         -   3642760   67.00    1.00    0.00    0.00   68.00     7  |__deptran_server
04:56:21 AM  1011         -   3642762   68.00    0.00    0.00    0.00   68.00    31  |__deptran_server
04:56:21 AM  1011         -   3642764   69.00    0.00    0.00    0.00   69.00    48  |__deptran_server
04:56:21 AM  1011         -   3642766   67.00    1.00    0.00    0.00   68.00    49  |__deptran_server
04:56:21 AM  1011         -   3642768   65.00    2.00    0.00    0.00   67.00    47  |__deptran_server
04:56:21 AM  1011         -   3642770   65.00    0.00    0.00    0.00   65.00     5  |__deptran_server

04:56:21 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:56:22 AM  1011   3642731         -  730.00  117.00    0.00    0.00  847.00    34  deptran_server
04:56:22 AM  1011         -   3642735   57.00   32.00    0.00    0.00   89.00    36  |__deptran_server
04:56:22 AM  1011         -   3642736   21.00   23.00    0.00    1.00   44.00    26  |__deptran_server
04:56:22 AM  1011         -   3642737   72.00   18.00    0.00    0.00   90.00    12  |__deptran_server
04:56:22 AM  1011         -   3642738   16.00   22.00    0.00    1.00   38.00     9  |__deptran_server
04:56:22 AM  1011         -   3642739   57.00    7.00    0.00    0.00   64.00    13  |__deptran_server
04:56:22 AM  1011         -   3642740    8.00   10.00    0.00    1.00   18.00     7  |__deptran_server
04:56:22 AM  1011         -   3642758   69.00    1.00    0.00    0.00   70.00    35  |__deptran_server
04:56:22 AM  1011         -   3642760   73.00    2.00    0.00    0.00   75.00    32  |__deptran_server
04:56:22 AM  1011         -   3642762   72.00    0.00    0.00    0.00   72.00    31  |__deptran_server
04:56:22 AM  1011         -   3642764   77.00    0.00    0.00    0.00   77.00    48  |__deptran_server
04:56:22 AM  1011         -   3642766   68.00    1.00    0.00    0.00   69.00    49  |__deptran_server
04:56:22 AM  1011         -   3642768   70.00    0.00    0.00    0.00   70.00    47  |__deptran_server
04:56:22 AM  1011         -   3642770   68.00    1.00    0.00    0.00   69.00     5  |__deptran_server

04:56:22 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:56:23 AM  1011   3642731         -  695.00   58.00    0.00    0.00  753.00    34  deptran_server
04:56:23 AM  1011         -   3642735   72.00    8.00    0.00    0.00   80.00    36  |__deptran_server
04:56:23 AM  1011         -   3642736    9.00   11.00    0.00    1.00   20.00    58  |__deptran_server
04:56:23 AM  1011         -   3642737   76.00    7.00    0.00    0.00   83.00    12  |__deptran_server
04:56:23 AM  1011         -   3642738    9.00   14.00    0.00    0.00   23.00     3  |__deptran_server
04:56:23 AM  1011         -   3642739   78.00    8.00    0.00    0.00   86.00    13  |__deptran_server
04:56:23 AM  1011         -   3642740    7.00   12.00    0.00    1.00   19.00    10  |__deptran_server
04:56:23 AM  1011         -   3642758   60.00    1.00    0.00    0.00   61.00    35  |__deptran_server
04:56:23 AM  1011         -   3642760   60.00    1.00    0.00    0.00   61.00    32  |__deptran_server
04:56:23 AM  1011         -   3642762   68.00    1.00    0.00    0.00   69.00    31  |__deptran_server
04:56:23 AM  1011         -   3642764   58.00    1.00    0.00    0.00   59.00    48  |__deptran_server
04:56:23 AM  1011         -   3642766   73.00    0.00    0.00    0.00   73.00    49  |__deptran_server
