Linux 5.15.30-2-pve (zoo-003) 	07/17/2023 	_x86_64_	(64 CPU)

09:15:55 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:15:58 PM  1011    321582         -  246.99   59.44    0.00    0.00  306.43    42  deptran_server
09:15:58 PM  1011         -    321605    0.00    1.20    0.00    0.00    1.20     8  |__deptran_server
09:15:58 PM  1011         -    321606    2.01    2.41    0.00    0.00    4.42    41  |__deptran_server
09:15:58 PM  1011         -    321607    0.40    0.40    0.00    0.00    0.80    47  |__deptran_server
09:15:58 PM  1011         -    321608    0.80    3.21    0.00    0.00    4.02    38  |__deptran_server
09:15:58 PM  1011         -    321609    0.40    0.80    0.00    0.00    1.20     3  |__deptran_server
09:15:58 PM  1011         -    321610    1.61    2.41    0.00    0.00    4.02     9  |__deptran_server
09:15:58 PM  1011         -    321611    0.80    0.00    0.00    0.00    0.80     1  |__deptran_server
09:15:58 PM  1011         -    321612    1.61    2.01    0.00    0.00    3.61    10  |__deptran_server
09:15:58 PM  1011         -    321613    0.40    0.40    0.00    0.00    0.80    37  |__deptran_server
09:15:58 PM  1011         -    321614    2.41    1.61    0.00    0.00    4.02     4  |__deptran_server

09:15:58 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:16:00 PM  1011    321582         -  274.50  131.00    0.00    0.00  405.50    42  deptran_server
09:16:00 PM  1011         -    321605   29.50    6.50    0.00    0.00   36.00     7  |__deptran_server
09:16:00 PM  1011         -    321606    7.50    9.50    0.00    0.00   17.00    19  |__deptran_server
09:16:00 PM  1011         -    321607   55.00   18.00    0.00    0.00   73.00    15  |__deptran_server
09:16:00 PM  1011         -    321608    7.00   10.00    0.00    0.00   17.00    14  |__deptran_server
09:16:00 PM  1011         -    321609   36.00   12.00    0.00    0.00   48.00     5  |__deptran_server
09:16:00 PM  1011         -    321610    7.50    9.50    0.00    0.00   17.00    43  |__deptran_server
09:16:00 PM  1011         -    321611   38.00   12.50    0.00    0.00   50.50    33  |__deptran_server
09:16:00 PM  1011         -    321612    6.50   12.00    0.00    0.00   18.50     0  |__deptran_server
09:16:00 PM  1011         -    321613   36.00   11.50    0.00    0.00   47.50    10  |__deptran_server
09:16:00 PM  1011         -    321614    6.50    9.00    0.00    0.00   15.50     3  |__deptran_server
09:16:00 PM  1011         -    321615    4.00    2.50    0.00    0.00    6.50     1  |__deptran_server
09:16:00 PM  1011         -    321617    3.50    3.00    0.00    0.00    6.50    32  |__deptran_server
09:16:00 PM  1011         -    321619    4.50    1.50    0.00    0.00    6.00    44  |__deptran_server
09:16:00 PM  1011         -    321621    3.50    2.50    0.00    0.00    6.00    12  |__deptran_server
09:16:00 PM  1011         -    321623    3.50    3.00    0.00    0.00    6.50     4  |__deptran_server
09:16:00 PM  1011         -    321625    2.50    2.50    0.00    0.00    5.00    40  |__deptran_server
09:16:00 PM  1011         -    321627    5.00    0.50    0.00    0.00    5.50    42  |__deptran_server
09:16:00 PM  1011         -    321629    3.50    2.50    0.00    0.00    6.00    41  |__deptran_server
09:16:00 PM  1011         -    321631    3.00    3.00    0.00    0.00    6.00    17  |__deptran_server
09:16:00 PM  1011         -    321633    4.50    1.50    0.00    0.00    6.00     2  |__deptran_server

09:16:00 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:16:02 PM  1011    321582         -  343.00  128.50    0.00    0.00  471.50    42  deptran_server
09:16:02 PM  1011         -    321605   38.00    7.00    0.00    0.00   45.00     7  |__deptran_server
09:16:02 PM  1011         -    321606    6.50   11.00    0.00    0.50   17.50    11  |__deptran_server
09:16:02 PM  1011         -    321607   74.00   12.50    0.00    0.00   86.50     4  |__deptran_server
09:16:02 PM  1011         -    321608    8.00   12.00    0.00    0.50   20.00    42  |__deptran_server
09:16:02 PM  1011         -    321609   52.00    8.00    0.00    0.00   60.00    13  |__deptran_server
09:16:02 PM  1011         -    321610    6.00   11.50    0.00    0.50   17.50     1  |__deptran_server
09:16:02 PM  1011         -    321611   47.50   15.00    0.00    0.00   62.50    33  |__deptran_server
09:16:02 PM  1011         -    321612    7.50   10.00    0.00    0.50   17.50     9  |__deptran_server
09:16:02 PM  1011         -    321613   48.00   11.00    0.00    0.00   59.00     5  |__deptran_server
09:16:02 PM  1011         -    321614    8.50    9.00    0.00    0.50   17.50    30  |__deptran_server
09:16:02 PM  1011         -    321615    4.50    2.50    0.00    0.00    7.00    32  |__deptran_server
09:16:02 PM  1011         -    321617    5.00    1.50    0.00    0.00    6.50    14  |__deptran_server
09:16:02 PM  1011         -    321619    4.50    2.00    0.00    0.00    6.50    47  |__deptran_server
09:16:02 PM  1011         -    321621    3.50    3.50    0.00    0.00    7.00    47  |__deptran_server
09:16:02 PM  1011         -    321623    5.50    1.00    0.00    0.00    6.50     8  |__deptran_server
09:16:02 PM  1011         -    321625    4.00    4.00    0.00    0.00    8.00    45  |__deptran_server
09:16:02 PM  1011         -    321627    5.00    2.00    0.00    0.00    7.00    43  |__deptran_server
09:16:02 PM  1011         -    321629    3.50    2.50    0.00    0.00    6.00     2  |__deptran_server
09:16:02 PM  1011         -    321631    3.50    3.50    0.00    0.00    7.00    17  |__deptran_server
09:16:02 PM  1011         -    321633    4.00    3.00    0.00    0.00    7.00     3  |__deptran_server

09:16:02 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:16:04 PM  1011    321582         -  366.00  119.50    0.00    0.00  485.50    42  deptran_server
09:16:04 PM  1011         -    321605   39.00    6.00    0.00    0.00   45.00     8  |__deptran_server
09:16:04 PM  1011         -    321606    7.50    9.50    0.00    0.50   17.00     9  |__deptran_server
09:16:04 PM  1011         -    321607   75.00   15.00    0.00    0.00   90.00     4  |__deptran_server
09:16:04 PM  1011         -    321608   10.00    9.00    0.00    0.50   19.00    13  |__deptran_server
09:16:04 PM  1011         -    321609   50.50   10.00    0.00    0.00   60.50     7  |__deptran_server
09:16:04 PM  1011         -    321610    9.00    8.50    0.00    0.50   17.50    32  |__deptran_server
09:16:04 PM  1011         -    321611   52.00   12.00    0.00    0.00   64.00    33  |__deptran_server
09:16:04 PM  1011         -    321612    7.00   11.50    0.00    1.00   18.50     3  |__deptran_server
09:16:04 PM  1011         -    321613   50.50   11.50    0.00    0.00   62.00     6  |__deptran_server
09:16:04 PM  1011         -    321614    6.50   12.50    0.00    1.00   19.00    22  |__deptran_server
09:16:04 PM  1011         -    321615    5.50    2.50    0.00    0.00    8.00    34  |__deptran_server
09:16:04 PM  1011         -    321617    6.00    1.50    0.00    0.00    7.50    37  |__deptran_server
09:16:04 PM  1011         -    321619    5.00    2.00    0.00    0.00    7.00     1  |__deptran_server
